Key,Page,Section,English,Khmer,Notes
home.testimonial3_role,homepage,TESTIMONIALS,UK,UK,
home.testimonial3_quote,homepage,TESTIMONIALS,"""RME provides deep insights our ESP misses and helped us segment smarter.""","""RME ផ្តល់នូវការយល់ដឹងស៊ីជម្រៅដែល ESP របស់យើងខកខាន ហើយបានជួយយើង segment ដោយឆ្លាតវៃជាងមុន។""","DNT RME, ESP"
home.final_title,homepage,FINAL CTA,Ready to know what's in your list?,ត្រៀមខ្លួនដើម្បីមើលអ្វីដែលពិតជានៅក្នុងបញ្ជីរបស់អ្នក?,
home.final_subtext,homepage,FINAL CTA,"Send us your list. We'll tell you exactly what's safe to send, what needs watching, and what will hurt you.",ផ្ញើបញ្ជីរបស់អ្នកមកយើង។ យើងនឹងប្រាប់អ្នកច្បាស់ថាអ្វីមានសុវត្ថិភាពក្នុងការផ្ញើ អ្វីត្រូវការការត្រួតពិនិត្យ និងអ្វីនឹងប៉ះពាល់អ្នក។,
home.final_cta,homepage,FINAL CTA,Get My List Cleaned,ចាប់ផ្តើមឥឡូវ,
home.final_footer,homepage,FINAL CTA,Most lists returned within 24 hours.,បញ្ជីភាគច្រើនត្រូវបានត្រឡប់មកវិញក្នុងរយៈពេល ២៤ម៉ោង។,
modal.contact_title,common,CONTACT MODAL,Get in Touch,ទំនាក់ទំនងយើង,
modal.contact_subtitle,common,CONTACT MODAL,Tell us what you're working on. We'll get back to you within one business day.,ប្រាប់យើងពីអ្វីដែលអ្នកកំពុងធ្វើ។ យើងនឹងឆ្លើយតបក្នុងរយៈពេលមួយថ្ងៃធ្វើការ។,
modal.form_name,common,CONTACT MODAL,Name,ឈ្មោះ,
modal.form_email,common,CONTACT MODAL,Email,អ៊ីមែល,
modal.form_timezone,common,CONTACT MODAL,Timezone,តំបន់ពេលវេលា,
modal.form_timezone_placeholder,common,CONTACT MODAL,Select your timezone (optional),ជ្រើសរើសតំបន់ពេលវេលារបស់អ្នក (ជាជម្រើស),
modal.form_message,common,CONTACT MODAL,Message,សារ,
modal.form_message_placeholder,common,CONTACT MODAL,What can we help you with?,តើយើងអាចជួយអ្នកដោយរបៀបណា?,
modal.form_message_helper,common,CONTACT MODAL,Optional - but helps us prepare for the conversation.,ជាជម្រើស - ប៉ុន្តែជួយយើងរៀបចំសម្រាប់ការសន្ទនា។,
modal.form_submit,common,CONTACT MODAL,Send Message,ផ្ញើសារ,
modal.success_title,common,CONTACT MODAL,Message Sent!,សារត្រូវបានផ្ញើ!,
modal.success_message,common,CONTACT MODAL,We'll get back to you within one business day.,យើងនឹងឆ្លើយតបក្នុងរយៈពេលមួយថ្ងៃធ្វើការ។,
modal.timezone_pt,common,CONTACT MODAL,Pacific Time (PT),ម៉ោងប៉ាស៊ីហ្វិក (PT),
modal.timezone_mt,common,CONTACT MODAL,Mountain Time (MT),ម៉ោងភ្នំ (MT),
modal.timezone_ct,common,CONTACT MODAL,Central Time (CT),ម៉ោងកណ្តាល (CT),
modal.timezone_et,common,CONTACT MODAL,Eastern Time (ET),ម៉ោងខាងកើត (ET),
modal.timezone_gmt,common,CONTACT MODAL,GMT / UTC,GMT / UTC,
modal.timezone_cet,common,CONTACT MODAL,Central European Time (CET),ម៉ោងអឺរ៉ុបកណ្តាល (CET),
modal.timezone_other,common,CONTACT MODAL,Other,ផ្សេងទៀត,
modal.form_sending,common,CONTACT MODAL,Sending...,កំពុងផ្ញើ...,
modal.form_try_again,common,CONTACT MODAL,Try Again,ព្យាយាមម្តងទៀត,
modal.form_error,common,CONTACT MODAL,Something went wrong. Please try again or email us directly at ahoy@reviewmyemails.com,មានបញ្ហាកើតឡើង។ សូមព្យាយាមម្តងទៀត ឬផ្ញើអ៊ីមែលមកយើងដោយផ្ទាល់នៅ ahoy@reviewmyemails.com,
modal.request_received,common,CONTACT MODAL,Request Received,ទទួលសំណើរួចហើយ,
modal.timezone_london,common,CONTACT MODAL,London (GMT/BST),ឡុងដ៍ (GMT/BST),
modal.timezone_singapore,common,CONTACT MODAL,Singapore Time,ម៉ោងសិង្ហបុរី,
modal.timezone_sydney,common,CONTACT MODAL,Australian Eastern Time,ម៉ោងអូស្ត្រាលីខាងកើត,
modal.timezone_alaska,common,CONTACT MODAL,Alaska Time,ម៉ោងអាឡាស្កា,
modal.timezone_hawaii,common,CONTACT MODAL,Hawaii Time,ម៉ោងហាវ៉ៃ,
modal.timezone_eet,common,CONTACT MODAL,Eastern European Time,ម៉ោងអឺរ៉ុបខាងកើត,
modal.timezone_gulf,common,CONTACT MODAL,Gulf Standard Time,ម៉ោងស្តង់ដារឈូង,
modal.timezone_india,common,CONTACT MODAL,India Standard Time,ម៉ោងស្តង់ដារឥណ្ឌា,
modal.timezone_japan,common,CONTACT MODAL,Japan Standard Time,ម៉ោងស្តង់ដារជប៉ុន,
modal.timezone_nz,common,CONTACT MODAL,New Zealand Time,ម៉ោងនូវែលហ្សេឡង់,
ui.menu_open,common,UI,Open menu,បើកមឺនុយ,Accessibility label
ui.menu_close,common,UI,Close menu,បិទមឺនុយ,Accessibility label
nav.home,common,NAVIGATION,Home,ទំព័រដើម,
nav.how_it_works,common,NAVIGATION,How It Works,របៀបដែលវាដំណើរការ,
nav.pricing,common,NAVIGATION,Pricing,តម្លៃ,
nav.sos_hotline,common,NAVIGATION,SOS Hotline,SOS Hotline,DNT SOS Hotline
nav.about,common,NAVIGATION,About,អំពីយើង,
nav.partner,common,NAVIGATION,Partner,ដៃគូ,
nav.quiz,common,NAVIGATION,Free Quiz,Quiz ឥតគិតថ្លៃ,
nav.audit,common,NAVIGATION,Self-Audit,ការត្រួតពិនិត្យខ្លួនឯង (Self-Audit),
nav.cta,common,NAVIGATION,Get My List Cleaned,សម្អាតបញ្ជីរបស់ខ្ញុំ,
footer.tagline,common,FOOTER,We see what algorithms can't.,យើងមើលឃើញអ្វីដែល algorithms មិនអាច។,
footer.services,common,FOOTER,Services,សេវាកម្ម,
footer.company,common,FOOTER,Company,ក្រុមហ៊ុន,
footer.contact,common,FOOTER,Contact,ទំនាក់ទំនង,
footer.security,common,FOOTER,Security,សុវត្ថិភាព,
footer.copyright,common,FOOTER,© 2026 Review My Emails. All rights reserved.,© 2026 Review My Emails។ រក្សាសិទ្ធិគ្រប់យ៉ាង។,DNT brand
footer.privacy,common,FOOTER,Privacy Policy,ភាពឯកជន,
footer.terms,common,FOOTER,Terms,លក្ខខណ្ឌ,
lang.select,common,LANGUAGE,Language,ភាសា,
lang.current_en,common,LANGUAGE,Language: English,ភាសា: ខ្មែរ,
ui.loading,common,UI,Loading...,កំពុងផ្ទុក...,
ui.submit,common,UI,Submit,បញ្ជូន,
ui.cancel,common,UI,Cancel,បោះបង់,
ui.close,common,UI,Close,បិទ,
ui.learn_more,common,UI,Learn More,ស្វែងយល់បន្ថែម,
ui.view_details,common,UI,View Details,មើលព័ត៌មានលម្អិត,
ui.success,common,UI,Success!,ជោគជ័យ!,
ui.error,common,UI,Something went wrong. Please try again.,មានអ្វីមួយខុសប្រក្រតី។ សូមព្យាយាមម្តងទៀត។,
ui.required,common,UI,Required,ចាំបាច់,
og.headline,common,OG IMAGE,Stop guessing what's wrong with your list,ឈប់ទស្សន៍ទាយពីអ org អ្វីដែលខុសជាមួយបញ្ជីរបស់អ្នក,Main text on OG image
og.subhead,common,OG IMAGE,We find the problems tools miss,យើងរកឃើញបញ្ហាដែលឧបករណ៍មិនអាចរកឃើញ,Secondary text
og.tagline,common,OG IMAGE,Expert Email List Cleaning,សេវាសម្អាតបញ្ជីអ៊ីមែលដោយអ្នកជំនាញ,Bottom tagline
easter.fish_message,common,EASTER EGG,You found me! Here's 20% off your first order.,អ្នករកខ្ញុំឃើញហើយ! នេះគឺ 20% បញ្ចុះតម្លៃលើការបញ្ជាទិញដំបូងរបស់អ្នក។,Optional
easter.fish_coupon,common,EASTER EGG,Coupon: DEEPDIVE20,គូប៉ុង: DEEPDIVE20,DNT coupon code
easter.exit_button,common,EASTER EGG,Return to Surface,ត្រឡប់ទៅផ្ទៃ,
easter.hint,common,EASTER EGG,Something is swimming in the deep...,មានអ org វីមួយកំពុងហែលនៅជម្រៅ...,
about.title,about,HERO,About,អំពី,
about.subtitle,about,HERO,The person behind Review My Emails.,មនុស្សនៅពីក្រោយ Review My Emails។,DNT Review My Emails
about.name,about,BIO,Yanna-Torry Aspraki,Yanna-Torry Aspraki,DNT name
about.role,about,BIO,"Founder, Review My Emails","ស្ថាបនិក, Review My Emails",DNT Review My Emails
about.bio_p1,about,BIO,"I started Review My Emails because I kept seeing the same problem. Marketers would run their lists through validation tools, get a clean bill of health, and then watch their deliverability tank anyway.",ខ្ញុំបានចាប់ផ្តើម Review My Emails ព្រោះខ្ញុំឃើញបញ្ហាដដែលៗ។ Marketers បានដាក់បញ្ជីរបស់ពួកគេតាមរយៈឧបករណ org៍ validation ទទួលបានសុខភាពល្អ ហើយបន្ទាប់មកមើល deliverability របស់ពួកគេធ្លាក់ទោះជាយ៉ org។,DNT Review My Emails
about.bio_p2,about,BIO,The tools were not lying. They just were not telling the whole story.,ឧបករណ org៍មិនបានកុហកទេ។ គ្រាន់តែពួកគេមិនបានប្រាប់រឿងទាំងមូល។,
about.bio_p3,about,BIO,"Validation checks if an address exists. It does not check if sending there is safe. It does not know about complaint histories, engagement patterns, or domain-level risk signals that accumulate over time.",Validation ពិនិត្យមើលថាអាសយដ្ឋានមានឬអត់។ វាមិនពិនិត្យមើលថាការផ្ញើទៅទីនោះមានសុវត្ថិភាពទេ។ វាមិនដឹងអំពីប្រវត្តិបណ្តឹង គំរូការចូលរួម ឬសញ្ញាហានិភ័យកម្រិត domain ដែលកកកុញតាមពេលវេលា។,
about.bio_p4,about,BIO,"I spent years in email deliverability, working with senders of all sizes. I learned that list health is not binary. An address can be technically valid and still damage your reputation. The question is not ""will this bounce?"" but ""should I send here?""","ខ្ញុំបានចំណាយពេលជាច្រើនឆ្នាំក្នុង email deliverability ធ្វើការជាមួយអ្នកផ្ញើគ្រប់ទំហំ។ ខ្ញុំបានរៀនថាសុខភាពបញ្ជីមិនមែនជា binary ទេ។ អាសយដ្ឋានអាចមានសុពលភាពបច្ចេកទេស ប៉ org្រូវក៏នៅតែប៉ org។ សំណួរមិនមែន ""តើនេះនឹង bounce ទេ?"" ប org្រូវទេ ""តើខ org្ម org។""",
about.bio_p5,about,BIO,"That is what Review My Emails answers. Every address gets labeled Keep, Monitor, or Suppress. And every label comes with the reasoning behind it. No black boxes. No guessing.","នោះជាអ្វីដែល Review My Emails ឆ្លើយ។ រាល់អាសយដ្ឋានទាំងអស់ត្រូវបានសម្គាល់ថា Keep, Monitor ឬ Suppress។ ហើយរាល់ស្លាកមកជាមួយហេតុផលនៅពីក្រោយវា។ គ្មានប្រអប់ខ្មៅ។ គ្មានការស្មាន។",DNT Review My Emails, Keep, Monitor, Suppress
about.bio_p6,about,BIO,"If you have questions about your list or your deliverability, I am happy to talk. That is what the SOS Hotline is for.","ប្រសិនបើអ្នកមានសំណួរអំពីបញ្ជីរបស់អ្នក ឬ deliverability របស់អ្នក ខ្ញុំរីករាយក្នុងការនិយាយ។ នោះជាអ្វីដែល SOS Hotline មានសម្រាប់។",DNT SOS Hotline
about.cta_title,about,CTA,Questions?,សំណួរ?,
about.cta_subtitle,about,CTA,Talk through your situation. No pitch. Just answers.,និយាយអំពីស្ថានភាពរបស់អ្នក។ គ្មានការលក់។ គ្រាន់តែចម្លើយ។,
about.cta_sos,about,CTA,Learn About SOS Hotline,ស្វែងយល់អំពី SOS Hotline,DNT SOS Hotline
about.cta_pricing,about,CTA,See Pricing,មើលតម្លៃ,
about.team_title,about,TEAM,The Team,ក្រុម,
about.team_subtitle,about,TEAM,Need a hand (or eight)? We have got you covered.,ត្រូវការដៃជួយ (ឬប្រាំបី)? យើងគ្របដណ្តប់អ្នក។,
about.team_contact,about,TEAM,Get in touch:,ទាក់ទង:,
about.modal_title,about,MODAL,Get in Touch,ទាក់ទងមកយើង,
about.modal_subtitle,about,MODAL,Tell us what you're working on. We'll get back to you within one business day.,ប្រាប់យើងអំពីអ្វីដែលអ្នកកំពុងធ្វើ។ យើងនឹងឆ្លើយតបក្នុងរយៈពេលមួយថ្ងៃធ្វើការ។,
about.modal_success,about,MODAL,Message Sent!,សារបានផ្ញើហើយ!,
dfy.hero_title,done-for-you,HERO,Validators check addresses. I read risk.,Validators ពិនិត្យអាសយដ្ឋាន។ ខ្ញុំអានហានិភ័យ។,
dfy.hero_subtitle,done-for-you,HERO,"Your list isn't broken. The assumptions behind it are. I read lists the way experience taught me, not the way software defaults to.","បញ្ជីរបស់អ្នកមិនខូចទេ។ ការសន្មតនៅពីក្រោយវាទើបខូច។ ខ្ញុំអានបញ្ជីតាមរបៀបដែលបទពិសោធន៍បានបង្រៀនខ្ញុំ មិនមែនតាមការកំណត់របស់ software ទេ។",
dfy.hero_cta,done-for-you,HERO,Get My List Cleaned,សម្អាតបញ្ជីរបស់ខ្ញុំ,
dfy.hero_cta_secondary,done-for-you,HERO,Contact Us First,ទាក់ទងមកយើងមុន,
dfy.output_title,done-for-you,OUTPUT,What You Get Back,អ្វីដែលអ្នកទទួលបាន,
dfy.output_subtitle,done-for-you,OUTPUT,"Your list sorted into three buckets, with the labels and reasoning behind each decision.","បញ្ជីរបស់អ្នកត្រូវបានតម្រៀបជាបីក្រុម ជាមួយនឹងស្លាក និងហេតុផលនៅពីក្រោយការសម្រេចចិត្តនីមួយៗ។",
dfy.output_safe,done-for-you,OUTPUT,Safe to Mail,សុវត្ថិភាពក្នុងការផ្ញើ (Safe),
dfy.output_safe_desc,done-for-you,OUTPUT,"No flags found. Domain checks out, validation passed, no risk signals. These are clear to send.","រកមិនឃើញទង់ហានិភ័យ។ Domain ត្រឹមត្រូវ validation ជាប់ គ្មានសញ្ញាហានិភ័យ។ ទាំងនេះអាចផ្ញើបានដោយសុវត្ថិភាព។",
dfy.output_yellow,done-for-you,OUTPUT,Yellow Flags,ទង់លឿង (Yellow Flags),
dfy.output_yellow_desc,done-for-you,OUTPUT,Each address comes with specific labels explaining why it landed here. Context matters. How you segment and send to these decides the outcome.,អាសយដ្ឋាននីមួយៗមានស្លាកជាក់លាក់ពន្យល់ថាហេតុអ្វីវាមកដល់ទីនេះ។ បរិបទសំខាន់ណាស់។ របៀបដែលអ្នក segment និងផ្ញើទៅកាន់ក្រុមនេះនឹងកំណត់លទ្ធផល។,
dfy.output_donotmail,done-for-you,OUTPUT,Do Not Mail,ហាមផ្ញើ (Do Not Mail),
dfy.output_donotmail_desc,done-for-you,OUTPUT,"Each address comes with specific labels explaining why. Invalid, trap-likely, disposable, or other risk signals. Don't send here.","អាសយដ្ឋាននីមួយៗមានស្លាកជាក់លាក់ពន្យល់ថាហេតុអ្វី។ មិនត្រឹមត្រូវ (Invalid), ទំនងជាអន្ទាក់ (Trap), ប្រើម្តងចោល (Disposable), ឬសញ្ញាហានិភ័យផ្សេងទៀត។ កុំផ្ញើទៅកាន់ពួកវា។",
dfy.output_note,done-for-you,OUTPUT,You also get the validation and DNS data that informed each decision. Not just buckets. The full picture.,អ្នកក៏ទទួលបានទិន្នន័យ validation និង DNS ដែលគាំទ្រការសម្រេចចិត្តនីមួយៗផងដែរ។ មិនមែនគ្រាន់តែជាក្រុមទេ។ គឺជារូបភាពពេញលេញ។,
dfy.howread_title,done-for-you,HOW I READ,How I Read Your List,របៀបដែលខ្ញុំអានបញ្ជីរបស់អ្នក,
dfy.howread_beyond,done-for-you,HOW I READ,I Look Beyond the Address,ខ្ញុំមើលលើសពីអាសយដ្ឋាន,
