Key,Page,Section,English,Greek,Notes
home.symptom_4,homepage,SYMPTOMS,Haven't emailed this list in <strong>months</strong>. Afraid to restart.,Δεν έχετε στείλει email σε αυτή τη λίστα εδώ και <strong>μήνες</strong>. Φοβάστε να ξαναρχίσετε.,Bold: months
home.symptom_5,homepage,SYMPTOMS,Paid for list cleaning <strong>yesterday</strong>. Bounces <strong>today</strong>.,Πληρώσατε για καθαρισμό λίστας <strong>χθες</strong>. Bounces <strong>σήμερα</strong>.,"Bold: yesterday, today"
home.symptom_6,homepage,SYMPTOMS,Open rates <strong>dropped</strong> and nobody can explain why.,Τα open rates <strong>έπεσαν</strong> και κανείς δεν μπορεί να εξηγήσει γιατί.,Bold: dropped
home.symptom_7,homepage,SYMPTOMS,List keeps <strong>growing</strong>. Revenue <strong>doesn't</strong>.,Η λίστα συνεχίζει να <strong>μεγαλώνει</strong>. Τα έσοδα <strong>όχι</strong>.,"Bold: growing, doesn't"
home.symptom_8,homepage,SYMPTOMS,"Emails <strong>not inboxing</strong> anymore, going to spam or nowhere at all.","Τα emails <strong>δεν φτάνουν στο inbox</strong>, αλλά καταλήγουν στα spam ή στο κενό.",Bold: not inboxing
home.crisis_title,homepage,CRISIS,Crisis Mode?,Στη blocklist; Προειδοποίηση ESP; Η φήμη καταρρέει;,Box title
home.crisis_subtitle,homepage,CRISIS,"If any of these are true, start here.","Αν ισχύει κάτι από αυτά, ξεκινήστε εδώ.",
home.crisis_item_1,homepage,CRISIS,ESP sent a compliance warning or paused your sending.,Ο ESP έστειλε προειδοποίηση συμμόρφωσης ή ανέστειλε την αποστολή σας.,
home.crisis_item_2,homepage,CRISIS,"Blocklisted, or you think you might be.","Είστε σε blocklist, ή νομίζετε ότι μπορεί να είστε.",
home.crisis_item_3,homepage,CRISIS,Last send spiked bounces. Now everyone's afraid to send again.,Η τελευταία αποστολή είχε spike στα bounces. Τώρα όλοι φοβούνται να στείλουν ξανά.,
home.crisis_cta,homepage,CRISIS,Email the SOS Hotline,Λάβετε Επείγουσα Βοήθεια,DNT SOS Hotline
home.steps_title,homepage,STEPS,How we actually work,Πώς δουλεύουμε στην πραγματικότητα,
home.steps_subtitle,homepage,STEPS,Simple process. Expert execution. Real results.,Απλή διαδικασία. Εκτέλεση από ειδικούς. Πραγματικά αποτελέσματα.,
home.step1_number,homepage,STEPS,Step 01,Βήμα 01,
home.step1_title,homepage,STEPS,Send us your list,Στείλτε μας τη λίστα σας,
home.step1_desc,homepage,STEPS,"CSV, Excel, whatever you have. We've seen it all. No judgment, no questions.",CSV ή Excel. Όλα δεκτά. Χωρίς κριτική, χωρίς ερωτήσεις.,
home.step2_number,homepage,STEPS,Step 02,Βήμα 02,
home.step2_title,homepage,STEPS,We review every address,Ελέγχουμε κάθε διεύθυνση,
home.step2_desc,homepage,STEPS,"One by one. Looking for bounces, spam traps, disposables, and reputation killers.",Ένα προς ένα. Ψάχνουμε bounces, spam traps και ό,τι καταστρέφει το reputation σας. Αποτελέσματα σε 24-48 ώρες.,
home.step3_number,homepage,STEPS,Step 03,Βήμα 03,
home.step3_title,homepage,STEPS,Get your clean list back,Λάβετε την καθαρή λίστα,
home.step3_desc,homepage,STEPS,With clear labels and a report. You'll know exactly what to do with each address.,Κάθε διεύθυνση με ετικέτα. Πλήρης αναφορά. Θα ξέρετε ακριβώς τι να κάνετε με κάθε επαφή.,
home.steps_whisper,homepage,STEPS,No outsourcing. No AI guesswork. Just experienced eyes on every list.,Χωρίς outsourcing. Χωρίς AI μαντεψιές. Μόνο έμπειρα μάτια σε κάθε λίστα.,Small text at bottom
home.pullquote_text,homepage,TESTIMONIAL,"""She cleaned and organized our database with incredible efficiency and set us up for long-term success.""","""Καθάρισε και οργάνωσε τη βάση δεδομένων μας με απίστευτη αποτελεσματικότητα—δεν είχα συνειδητοποιήσει πόσες άχρηστες επαφές είχαμε.""",
home.pullquote_author,homepage,TESTIMONIAL,"Sam Cande, UK","Sam Cande, UK",
home.manifesto_text,homepage,MANIFESTO,You've probably run your list through a tool before. It said 95% valid. You sent anyway. Bounces happened. That's the gap between validation and understanding.,"Πιθανότατα έχετε χρησιμοποιήσει κάποιο εργαλείο validation. Έδειξε 95% valid. Στείλατε το email. Και όμως, είχατε bounces. Αυτό είναι το κενό μεταξύ του validation και της πραγματικής κατανόησης.",
home.features_title,homepage,FEATURES,What you actually get,Τι πραγματικά παίρνετε,
home.feature1_title,homepage,FEATURES,Clear action labels,Σαφείς ετικέτες δράσης,
home.feature1_desc,homepage,FEATURES,"Every email marked Keep, Monitor, or Suppress. No ambiguity, no guessing what to do next.","Κάθε email με σήμανση Keep, Monitor ή Suppress. Χωρίς ασάφειες, χωρίς να μαντεύετε την επόμενη κίνηση.",DNT Keep/Monitor/Suppress
home.feature2_title,homepage,FEATURES,Detailed reasoning,Λεπτομερής αιτιολόγηση,
home.feature2_desc,homepage,FEATURES,"Not just 'risky', we tell you why. Spam trap patterns, domain issues, behavioral signals.","Όχι απλά 'επικίνδυνο', σας λέμε γιατί. Μοτίβα spam trap, προβλήματα domain, σήματα συμπεριφοράς.",
home.feature3_title,homepage,FEATURES,Expert interpretation included,Ερμηνεία από ειδικό περιλαμβάνεται,
home.feature3_desc,homepage,FEATURES,"Not just data, context. Every list review includes a walkthrough of your results. I explain what I found, what it means, and exactly what to do next.","Όχι απλά δεδομένα, αλλά ουσία. Κάθε έλεγχος περιλαμβάνει παρουσίαση αποτελεσμάτων. Εξηγώ τι βρήκα, τι σημαίνει και ποια είναι τα επόμενα βήματα.",
home.quiz_cta_title,homepage,QUIZ CTA,Not sure if your list needs this?,Δεν είστε σίγουροι αν η λίστα σας το χρειάζεται;,
home.quiz_cta_subtext,homepage,QUIZ CTA,"Take a 2-minute self-assessment. Four questions about how you built your list, and we'll tell you what risk level you're probably at.","Κάντε μια 2λεπτη αυτοαξιολόγηση. Τέσσερις ερωτήσεις για το πώς χτίσατε τη λίστα σας, και θα σας πούμε σε τι επίπεδο κινδύνου πιθανόν βρίσκεστε.",
home.quiz_cta_button,homepage,QUIZ CTA,Take the 2-Minute Risk Check,Κάντε τον 2λεπτο Έλεγχο Κινδύνου,
home.testimonials_title,homepage,TESTIMONIALS,People who trusted us,Άνθρωποι που μας εμπιστεύτηκαν,
home.testimonials_subtitle,homepage,TESTIMONIALS,Real feedback from real senders.,Πραγματικά σχόλια από πραγματικούς αποστολείς.,
home.testimonial1_name,homepage,TESTIMONIALS,Megan S.,Megan S.,
home.testimonial1_role,homepage,TESTIMONIALS,UK,UK,
home.testimonial1_quote,homepage,TESTIMONIALS,"""The SOS Hotline gave me extremely helpful guidance. Yanna-Torry cleaned our list and supported us beyond the call.""","""Το SOS Hotline μου έδωσε εξαιρετικά χρήσιμη καθοδήγηση. Η Yanna-Torry καθάρισε τη λίστα μας και μας υποστήριξε πέρα από κάθε προσδοκία.""","DNT SOS Hotline, Yanna-Torry"
home.testimonial2_name,homepage,TESTIMONIALS,Chris Mead,Chris Mead,
home.testimonial2_role,homepage,TESTIMONIALS,UK,UK,
home.testimonial2_quote,homepage,TESTIMONIALS,"""Real human expertise. Tailor-made solutions. Not an AI tool.""","""Πραγματική ανθρώπινη εξειδίκευση. Εξατομικευμένες λύσεις. Όχι εργαλείο AI.""",
home.testimonial3_name,homepage,TESTIMONIALS,Adeola Sole,Adeola Sole,
home.testimonial3_role,homepage,TESTIMONIALS,UK,UK,
home.testimonial3_quote,homepage,TESTIMONIALS,"""RME provides deep insights our ESP misses and helped us segment smarter.""","""Το RME παρέχει βαθιές γνώσεις που χάνει ο ESP μας και μας βοήθησε να κάνουμε εξυπνότερο segmentation.""","DNT RME, ESP"
home.final_title,homepage,FINAL CTA,Ready to know what's in your list?,Έτοιμοι να δείτε τι πραγματικά υπάρχει στη λίστα σας;,
home.final_subtext,homepage,FINAL CTA,"Send us your list. We'll tell you exactly what's safe to send, what needs watching, and what will hurt you.","Στείλτε μας τη λίστα σας. Θα σας πούμε ακριβώς τι είναι ασφαλές να στείλετε, τι χρειάζεται παρακολούθηση και τι θα σας βλάψει.",
home.final_cta,homepage,FINAL CTA,Get My List Cleaned,Καθαρίστε τη Λίστα Μου,
home.final_footer,homepage,FINAL CTA,Most lists returned within 24 hours.,Οι περισσότερες λίστες επιστρέφονται εντός 24 ωρών.,
modal.contact_title,common,CONTACT MODAL,Get in Touch,Επικοινωνήστε μαζί μας,
modal.contact_subtitle,common,CONTACT MODAL,Tell us what you're working on. We'll get back to you within one business day.,Πείτε μας τι δουλεύετε. Θα επικοινωνήσουμε μαζί σας εντός μίας εργάσιμης ημέρας.,
modal.form_name,common,CONTACT MODAL,Name,Όνομα,
modal.form_email,common,CONTACT MODAL,Email,Email,
modal.form_timezone,common,CONTACT MODAL,Timezone,Ζώνη ώρας,
modal.form_timezone_placeholder,common,CONTACT MODAL,Select your timezone (optional),Επιλέξτε ζώνη ώρας (προαιρετικό),
modal.form_message,common,CONTACT MODAL,Message,Μήνυμα,
modal.form_message_placeholder,common,CONTACT MODAL,What can we help you with?,Πώς μπορούμε να σας βοηθήσουμε;,
modal.form_message_helper,common,CONTACT MODAL,Optional - but helps us prepare for the conversation.,Προαιρετικό - αλλά μας βοηθά να προετοιμαστούμε για τη συζήτηση.,
modal.form_submit,common,CONTACT MODAL,Send Message,Αποστολή Μηνύματος,
modal.success_title,common,CONTACT MODAL,Message Sent!,Το Μήνυμα Εστάλη!,
modal.success_message,common,CONTACT MODAL,We'll get back to you within one business day.,Θα επικοινωνήσουμε μαζί σας εντός μίας εργάσιμης ημέρας.,
nav.home,common,NAVIGATION,Home,Αρχική,
nav.how_it_works,common,NAVIGATION,How It Works,Πώς Λειτουργεί,
nav.pricing,common,NAVIGATION,Pricing,Τιμές,
nav.sos_hotline,common,NAVIGATION,SOS Hotline,SOS Hotline,DNT SOS Hotline
nav.about,common,NAVIGATION,About,Σχετικά,
nav.partner,common,NAVIGATION,Partner,Συνεργάτες,
nav.quiz,common,NAVIGATION,Free Quiz,Δωρεάν Quiz,
nav.audit,common,NAVIGATION,Self-Audit,Αυτοαξιολόγηση,
nav.cta,common,NAVIGATION,Get My List Cleaned,Καθαρίστε τη Λίστα Μου,
footer.tagline,common,FOOTER,We see what algorithms can't.,Βλέπουμε αυτά που οι αλγόριθμοι αδυνατούν να δουν.,
footer.services,common,FOOTER,Services,Υπηρεσίες,
footer.company,common,FOOTER,Company,Εταιρεία,
footer.contact,common,FOOTER,Contact,Επικοινωνία,
footer.security,common,FOOTER,Security,Ασφάλεια,
footer.copyright,common,FOOTER,© 2026 Review My Emails. All rights reserved.,© 2026 Review My Emails. Με την επιφύλαξη παντός δικαιώματος.,DNT brand
footer.privacy,common,FOOTER,Privacy Policy,Απόρρητο,
footer.terms,common,FOOTER,Terms,Όροι,
lang.select,common,LANGUAGE,Language,Γλώσσα,
lang.current_en,common,LANGUAGE,Language: English,Γλώσσα: Ελληνικά,
ui.loading,common,UI,Loading...,Φόρτωση...,
ui.submit,common,UI,Submit,Υποβολή,
ui.cancel,common,UI,Cancel,Ακύρωση,
ui.close,common,UI,Close,Κλείσιμο,
ui.learn_more,common,UI,Learn More,Μάθετε Περισσότερα,
ui.view_details,common,UI,View Details,Δείτε Λεπτομέρειες,
ui.success,common,UI,Success!,Επιτυχία!,
ui.error,common,UI,Something went wrong. Please try again.,Κάτι πήγε στραβά. Παρακαλούμε δοκιμάστε ξανά.,
ui.required,common,UI,Required,Απαιτείται,
og.headline,common,OG IMAGE,Stop guessing what's wrong with your list,Σταματήστε να μαντεύετε τι πρόβλημα έχει η λίστα σας,Main text on OG image
og.subhead,common,OG IMAGE,We find the problems tools miss,Βρίσκουμε τα προβλήματα που τα εργαλεία δεν βλέπουν.,Secondary text
og.tagline,common,OG IMAGE,Expert Email List Cleaning,Επαγγελματικός Καθαρισμός Λίστας Email,Bottom tagline
easter.fish_message,common,EASTER EGG,You found me! Here's 20% off your first order.,Με βρήκατε! Πάρτε 20% έκπτωση στην πρώτη σας παραγγελία.,Optional
easter.fish_coupon,common,EASTER EGG,Coupon: DEEPDIVE20,Κουπόνι: DEEPDIVE20,DNT coupon code
easter.exit_button,common,EASTER EGG,Return to Surface,Επιστροφή στην Επιφάνεια,
easter.hint,common,EASTER EGG,Something is swimming in the deep...,Κάτι κολυμπάει στα βάθη...,
