dfy.keep_desc,done-for-you,"No flags found. Domain checks out, validation passed, no risk signals. These are clear to send."
dfy.keep_title,done-for-you,Safe to Mail
dfy.modal_submit,done-for-you,Send Request
dfy.modal_subtitle,done-for-you,Tell us about your situation and we'll get back to you within 24 hours.
dfy.monitor_desc,done-for-you,Each address comes with specific labels explaining why it landed here. Context matters.
dfy.monitor_title,done-for-you,Yellow Flags
dfy.pricing_ask,done-for-you,Just ask
dfy.pricing_questions,done-for-you,Questions first?
dfy.read1_desc,done-for-you,"Domain behavior, history, and patterns across your entire list. Context, not just existence."
dfy.read1_title,done-for-you,I Look Beyond the Address
dfy.read2_desc,done-for-you,"Traps, role accounts, toxic domains, disposable patterns. The things that don't bounce but still hurt you."
dfy.read2_title,done-for-you,I Check What Others Miss
dfy.read3_desc,done-for-you,Not just labels. You get the thinking behind each decision so you understand why.
dfy.read3_title,done-for-you,I Explain My Reasoning
dfy.sos_cta,done-for-you,Learn About SOS Hotline
dfy.sos_desc,done-for-you,Have a question before committing? Use the SOS Hotline. It is free. No sales pitch.
dfy.sos_title,done-for-you,Not Sure Yet?
dfy.suppress_desc,done-for-you,"Each address comes with specific labels explaining why. Invalid, trap-likely, disposable, or other risk signals. Don't send here."
dfy.suppress_title,done-for-you,Do Not Mail
dfy.who_for1,done-for-you,Running campaigns but seeing declining engagement
dfy.who_for2,done-for-you,"Worried about bounces, complaints, or blocklists"
dfy.who_for3,done-for-you,Inheriting a list you did not build
dfy.who_for4,done-for-you,"Under pressure to ""just send"" but sensing risk"
dfy.who_for5,done-for-you,Trying to explain deliverability risks internally
dfy.who_for_title,done-for-you,This Is For You If
dfy.who_not1,done-for-you,You want someone to write or send campaigns for you
dfy.who_not2,done-for-you,You need ESP migration or setup help
dfy.who_not3,done-for-you,You want ongoing managed services
dfy.who_not4,done-for-you,You need content or design work
dfy.who_not_title,done-for-you,Not For You If
dfy.who_partner_cta,done-for-you,Connect With a Partner
dfy.who_title,done-for-you,Who This Is For
home.manifesto,homepage,You've probably run your list through a tool before. It said 95% valid. You sent anyway. Bounces happened. That's the gap between validation and understanding.
home.quiz_cta_btn,homepage,Take the 2-Minute Risk Check
home.quiz_cta_desc,homepage,"Take a 2-minute self-assessment. Four questions about how you built your list, and we'll tell you what risk level you're probably at."
pricing.compare_them1,pricing,Validators check if an inbox exists.
pricing.compare_them2,pricing,Validators give you a status.
pricing.compare_them3,pricing,Validators flag what bounces.
pricing.compare_them4,pricing,Validators process volume.
pricing.compare_them5,pricing,Validators leave you guessing.
pricing.compare_us1,pricing,We assess whether sending there is safe.
pricing.compare_us2,pricing,We give you the reasoning behind a decision.
pricing.compare_us3,pricing,We flag what damages your reputation without bouncing.
pricing.compare_us4,pricing,We interpret patterns across your entire list.
pricing.compare_us5,pricing,We tell you what to do and why.
modal.timezone_pt,common,Pacific Time (PT)
modal.timezone_mt,common,Mountain Time (MT)
modal.timezone_ct,common,Central Time (CT)
modal.timezone_et,common,Eastern Time (ET)
modal.timezone_gmt,common,GMT / UTC
modal.timezone_cet,common,Central European Time (CET)
modal.timezone_other,common,Other
modal.form_sending,common,Sending...
modal.form_try_again,common,Try Again
modal.form_error,common,Something went wrong. Please try again or email us directly at ahoy@reviewmyemails.com
modal.request_received,common,Request Received
modal.timezone_london,common,London (GMT/BST)
modal.timezone_singapore,common,Singapore Time
modal.timezone_sydney,common,Australian Eastern Time
modal.timezone_alaska,common,Alaska Time
modal.timezone_hawaii,common,Hawaii Time
modal.timezone_eet,common,Eastern European Time
modal.timezone_gulf,common,Gulf Standard Time
modal.timezone_india,common,India Standard Time
modal.timezone_japan,common,Japan Standard Time
modal.timezone_nz,common,New Zealand Time
sos.more_title,sos-hotline,Need More Than Advice?
sos.more_dfy,sos-hotline,Done-For-You Review
sos.more_dfy_cta,sos-hotline,See What You Get
sos.more_expert,sos-hotline,Expert Interpretation
sos.final_title,sos-hotline,Ready to Ask Your Question?
sos.final_cta,sos-hotline,Contact the SOS Hotline
sos.modal_title,sos-hotline,SOS Hotline
sos.modal_message_label,sos-hotline,What's going on?
sos.modal_placeholder,sos-hotline,What's your email question?
sos.modal_submit,sos-hotline,Send to SOS Hotline
sos.modal_success,sos-hotline,Message Received
sos.modal_success_text,sos-hotline,We'll get back to you within 24-48 hours.
sos.topics_subhead,sos-hotline,You do not need to be a client. You do not need to buy anything.
sos.topics_footer,sos-hotline,...and anything else you are wondering about.
sos.topic_deliverability,sos-hotline,Deliverability
sos.topic_bounces,sos-hotline,Bounces
sos.topic_blocklists,sos-hotline,Blocklists
sos.topic_open_rates,sos-hotline,Open rates
sos.topic_esp_migration,sos-hotline,ESP migration
sos.topic_warmup,sos-hotline,Warmup
sos.topic_list_cleaning,sos-hotline,List cleaning
sos.topic_engagement,sos-hotline,Engagement
sos.topic_spam_complaints,sos-hotline,Spam complaints
sos.topic_reputation,sos-hotline,Reputation
sos.topic_ip_warming,sos-hotline,IP warming
sos.topic_segmentation,sos-hotline,Segmentation
sos.topic_inbox_placement,sos-hotline,Inbox placement
sos.topic_sunsetting,sos-hotline,Sunsetting
sos.topic_reengagement,sos-hotline,Re-engagement
sos.topic_career,sos-hotline,Career advice
sos.step1,sos-hotline,You send an email to the SOS Hotline
sos.step2,sos-hotline,You receive an automatic reply confirming we got it
sos.step3,sos-hotline,YT personally reads and responds within 48 hours
sos.how_footer,sos-hotline,That is it. No booking system. Just reach out.
sos.how_send_message,sos-hotline,Send a message
sos.testimonial1_quote,sos-hotline,The SOS Hotline gave me extremely helpful guidance. Yanna-Torry cleaned our list and supported us beyond the call.
sos.testimonial1_author,sos-hotline,"Megan S, UK"
sos.testimonial2_quote,sos-hotline,Real human expertise. Tailor-made solutions. Not an AI tool.
sos.testimonial2_author,sos-hotline,"Chris Mead, UK"
sos.testimonial3_quote,sos-hotline,RME provides deep insights our ESP misses and helped us segment smarter.
sos.testimonial3_author,sos-hotline,"Adeola Sole, UK"
sos.why_tagline,sos-hotline,Trust beats tactics.
sos.why_p1,sos-hotline,"We offer real help without charging because it is the right thing to do. Most questions fall into a few common patterns I see every week. Some people need a quick answer. Some need deeper support. Either way, the conversation starts the same."
sos.why_p2,sos-hotline,"If you need more than guidance, we offer done-for-you list reviews with expert interpretation included. But there is no pressure. The SOS Hotline exists to help, not to sell."
sos.more_intro,sos-hotline,"SOS gives you guidance. If you need someone to actually touch your data, we offer:"
sos.more_dfy_desc,sos-hotline,"Send us your list. We review every address and return it labeled: Keep, Monitor, or Suppress. Each gets a clear label, a definition, and why it matters."
sos.more_expert_desc,sos-hotline,"Every list review includes a walkthrough of your results. We explain what we found, what it means, and what to do next. Included free with every cleaning."
sos.final_subtext,sos-hotline,Email us. Within 48 hours. Often sooner.
Key,Page,
