Key,Page,English
quiz.q1_a1,quiz,They filled out a form on my website or app
quiz.q1_a2,quiz,"Purchased, scraped, or cold outreach (no opt-in)"
quiz.q1_a3,quiz,Mixed sources / I inherited this list
quiz.q2,quiz,Is your sending domain authenticated with DMARC?
quiz.q2_a1,quiz,"Yes, DMARC is set to Reject or Quarantine"
quiz.q2_a2,quiz,"I think so, but I'm not sure of the settings"
quiz.q2_a3,quiz,No / What is DMARC?
quiz.q3,quiz,Have you run this list through a validation tool?
quiz.q3_a1,quiz,"No, never / Not in the last 6 months"
quiz.q3_a2,quiz,"Yes, it said ""Valid"" but I\"
quiz.q3_a3,quiz,"Yes, it flagged a lot as ""Unknown"" or ""Catch-All"""
quiz.q3_a4,quiz,"Yes, and everything seems fine"
quiz.q4,quiz,What brought you here today?
quiz.q4_a1,quiz,Open rates are slowly dropping over time
quiz.q4_a2,quiz,ESP warning or suspension
quiz.q4_a3,quiz,I want to be safe before a big send
quiz.q4_a4,quiz,Tools give conflicting answers
quiz.loading_main,quiz,Analyzing your responses...
quiz.loading_sub,quiz,Comparing against common patterns
quiz.result_pattern,quiz,This is one of the most common patterns I see.
quiz.cta_diagnosis,quiz,Get the diagnosis
quiz.cta_safety,quiz,Get a safety check
quiz.result_infra_headline,quiz,Your infrastructure may be the problem.
quiz.result_catchall_headline,quiz,"Those ""Unknown"" addresses are not unknown to me."
quiz.result_decay_headline,quiz,Your list is slowly suffocating your delivery.
quiz.result_preventive_headline,quiz,You are in a good spot. Let\
quiz.result_noconsent_subhead,quiz,Lists without explicit consent carry more risk—but that doesn't mean you can't send safely. We'll remove the addresses most likely to hurt you.
quiz.result_crisis_subhead,quiz,An ESP warning is the final straw. Your reputation is already damaged. Automated cleaning alone will not get you reinstated.
quiz.result_toolfailure_subhead,quiz,You paid for syntax checking. You were punished for reputation. A 'Valid' email can still be a spam trap or chronic complainer.
quiz.result_infra_subhead,quiz,"Without proper DMARC authentication, even a clean list can land in spam. This is a fixable issue, but it needs attention before list cleaning matters."
quiz.result_catchall_subhead,quiz,Catch-all domains accept everything. Validation tools cannot tell you which addresses are real. I can.
quiz.result_decay_subhead,quiz,No bounce spike. No warning. Just a quiet decline as dead weight accumulates and inbox providers filter you to spam.
quiz.result_preventive_subhead,quiz,Healthy lists still decay by about 22% every year. A preventative review before a big send catches recycled traps that formed since your last campaign.
quiz.reality_noconsent,quiz,"We catch invalid addresses, spam traps, role accounts, and high-risk patterns that other validators miss. We're thorough. But we're also honest: no tool can catch every trap on a non-consent list because some are designed to be undetectable. That's true for every validator—we're just the ones who tell you."
quiz.reality_crisis,quiz,"You need a remediation strategy, not just a clean list. I help identify the root cause and build a path back to good standing with your ESP."
quiz.reality_toolfailure,quiz,"Automated tools cannot see behavioral history. They check code, not context. I find the 'Valid but Dangerous' addresses they miss."
quiz.reality_infra,quiz,"Domain authentication tells inbox providers you are who you say you are. Without it, your emails look suspicious regardless of list quality."
quiz.reality_catchall,quiz,A large percentage of business domains are catch-all. Validation marks them 'Unknown' because it cannot verify. Pattern recognition and engagement history tell a different story.
quiz.reality_decay,quiz,"This is the hardest problem to diagnose because there is no event. Your list has accumulated decay, and it is dragging down your engaged subscribers."
quiz.reality_preventive,quiz,You are doing the right things. A safety check ensures you do not accidentally hit a trap that did not exist last time you sent.
quiz.modal_title,quiz,Talk to a Specialist
quiz.modal_subtitle,quiz,Tell us about your situation and we'll get back to you within 24 hours.
quiz.modal_message_placeholder,quiz,Tell us about your situation...
sos.final_title,sos-hotline,Ready to Ask Your Question?
sos.final_cta,sos-hotline,Contact the SOS Hotline
sos.modal_title,sos-hotline,SOS Hotline
sos.modal_message_label,sos-hotline,What's going on?
sos.modal_placeholder,sos-hotline,What's your email question?
sos.modal_submit,sos-hotline,Send to SOS Hotline
sos.modal_success,sos-hotline,Message Received
sos.modal_success_text,sos-hotline,We'll get back to you within 24-48 hours.
sos.step1,sos-hotline,You send an email to the SOS Hotline
sos.step2,sos-hotline,You receive an automatic reply confirming we got it
sos.step3,sos-hotline,YT personally reads and responds within 48 hours
sos.why_tagline,sos-hotline,Trust beats tactics.
sos.why_p1,sos-hotline,"We offer real help without charging because it is the right thing to do. Most questions fall into a few common patterns I see every week. Some people need a quick answer. Some need deeper support. Either way, the conversation starts the same."
sos.why_p2,sos-hotline,"If you need more than guidance, we offer done-for-you list reviews with expert interpretation included. But there is no pressure. The SOS Hotline exists to help, not to sell."
