Key,Page,Section,English,Vietnamese,Notes
dfy.whofor_yes2,done-for-you,WHO FOR,"Worried about bounces, complaints, or blocklists",Lo lắng về tỷ lệ bounce, khiếu nại hoặc blocklist,
dfy.whofor_yes3,done-for-you,WHO FOR,Inheriting a list you did not build,Thừa hưởng một danh sách mà bạn không tự xây dựng,
dfy.whofor_yes4,done-for-you,WHO FOR,"Under pressure to ""just send"" but sensing risk","Bị áp lực phải ""cứ gửi đi"" nhưng cảm thấy rủi ro",
dfy.whofor_yes5,done-for-you,WHO FOR,Trying to explain deliverability risks internally,Cố gắng giải thích rủi ro deliverability trong nội bộ,
dfy.whofor_no1,done-for-you,WHO FOR,You want someone to write or send campaigns for you,Bạn muốn ai đó viết hoặc gửi chiến dịch thay bạn,
dfy.whofor_no2,done-for-you,WHO FOR,You need ESP migration or setup help,Bạn cần giúp đỡ di chuyển hoặc thiết lập ESP,DNT ESP
dfy.whofor_no3,done-for-you,WHO FOR,You want ongoing managed services,Bạn muốn dịch vụ quản lý liên tục,
dfy.whofor_no4,done-for-you,WHO FOR,You need content or design work,Bạn cần công việc nội dung hoặc thiết kế,
dfy.testimonial_quote,done-for-you,TESTIMONIAL,The SOS Hotline gave me extremely helpful guidance. Yanna-Torry cleaned our list and supported us beyond the call.,SOS Hotline đã cho tôi hướng dẫn cực kỳ hữu ích. Yanna-Torry đã làm sạch danh sách của chúng tôi và hỗ trợ chúng tôi vượt quá mong đợi.,DNT SOS Hotline, Yanna-Torry
dfy.testimonial_author,done-for-you,TESTIMONIAL,"Megan S, UK","Megan S, Anh",DNT
dfy.pricing_subtitle,done-for-you,PRICING,"Volume pricing: buy more credits, pay less per credit. No contracts, no tricks.","Giá theo số lượng: mua nhiều credits hơn, trả ít hơn trên mỗi credit. Không hợp đồng, không mánh khóe.",
dfy.pricing_contact,done-for-you,PRICING,Questions first?,Có câu hỏi trước?,
dfy.pricing_just_ask,done-for-you,PRICING,Just ask,Cứ hỏi thôi,
dfy.notsure_desc,done-for-you,PRICING,Have a question before committing? Use the SOS Hotline. It is free. No sales pitch. Just honest answers.,Có câu hỏi trước khi cam kết? Sử dụng SOS Hotline. Nó miễn phí. Không chào hàng. Chỉ có câu trả lời trung thực.,DNT SOS Hotline
partner.title,partner,HERO,Partner With Us,Hợp Tác Với Chúng Tôi,
partner.subtitle,partner,HERO,Work with Review My Emails to help your clients protect their sender reputation.,Làm việc với Review My Emails để giúp khách hàng của bạn bảo vệ danh tiếng người gửi.,DNT Review My Emails
partner.types_title,partner,TYPES,Who We Work With,Chúng Tôi Làm Việc Với Ai,
partner.esp_title,partner,TYPES,Email Service Providers,Nhà Cung Cấp Dịch Vụ Email (ESP),
partner.esp_desc,partner,TYPES,Help your customers maintain clean lists. Reduce complaints and bounces before they hurt your shared infrastructure.,Giúp khách hàng của bạn duy trì danh sách sạch. Giảm khiếu nại và bounce trước khi chúng làm hại hạ tầng chung của bạn.,
partner.agency_title,partner,TYPES,Marketing Agencies,Agency Tiếp Thị,
partner.agency_desc,partner,TYPES,Offer list hygiene as part of your email marketing services. Give clients clear recommendations, not just validation scores.,Cung cấp vệ sinh danh sách như một phần dịch vụ tiếp thị email của bạn. Đưa ra khuyến nghị rõ ràng cho khách hàng, không chỉ là điểm số validation.,
partner.consultant_title,partner,TYPES,Deliverability Consultants,Chuyên Gia Tư Vấn Deliverability,
partner.consultant_desc,partner,TYPES,Add list interpretation to your toolkit. Get detailed analysis you can use in client reports and remediation plans.,Thêm diễn giải danh sách vào bộ công cụ của bạn. Nhận phân tích chi tiết bạn có thể sử dụng trong báo cáo khách hàng và kế hoạch khắc phục.,
partner.data_title,partner,TYPES,Data Providers,Nhà Cung Cấp Dữ Liệu,
partner.data_desc,partner,TYPES,Validate the quality of email data before it reaches your customers. Reduce complaints and build trust.,Xác thực chất lượng dữ liệu email trước khi nó đến tay khách hàng của bạn. Giảm khiếu nại và xây dựng lòng tin.,
partner.cta_title,partner,CTA,Interested?,Quan Tâm?,
partner.cta_subtitle,partner,CTA,Reach out to discuss how we can work together. No pitch deck required. Just tell us what you are trying to solve.,Liên hệ để thảo luận cách chúng ta có thể làm việc cùng nhau. Không cần pitch deck. Chỉ cần cho chúng tôi biết bạn đang cố gắng giải quyết vấn đề gì.,
partner.cta_button,partner,CTA,Email Us,Gửi Email Cho Chúng Tôi,
partner.modal_title,partner,MODAL,Partner With Us,Hợp Tác Với Chúng Tôi,
partner.modal_subtitle,partner,MODAL,Tell us about your business and we'll get back to you within 24 hours.,Kể cho chúng tôi về doanh nghiệp của bạn và chúng tôi sẽ phản hồi trong vòng 24 giờ.,
partner.modal_placeholder,partner,MODAL,Tell us about your business and how you'd like to partner...,Kể cho chúng tôi về doanh nghiệp của bạn và cách bạn muốn hợp tác...,
partner.modal_button,partner,MODAL,Send Message,Gửi Tin Nhắn,
partner.modal_success_title,partner,MODAL,Message Received,Đã Nhận Tin Nhắn,
partner.modal_success_text,partner,MODAL,We'll get back to you within 24 hours.,Chúng tôi sẽ phản hồi trong vòng 24 giờ.,
pricing.hero_title,pricing,HERO,Beyond Validation. We Tell You What Your List Means.,Hơn Cả Validation. Chúng Tôi Cho Biết Ý Nghĩa Danh Sách Của Bạn.,
pricing.hero_subtitle,pricing,HERO,"Not just pass/fail. Every address comes with reasoning so you know what to keep, what to monitor, and what to suppress.","Không chỉ là đạt/không đạt. Mỗi địa chỉ đi kèm lý do để bạn biết cái nào cần giữ, cái nào cần theo dõi và cái nào cần loại bỏ (suppress).",
pricing.output_title,pricing,OUTPUT,What You Get,Những Gì Bạn Nhận Được,
pricing.output_cleared,pricing,OUTPUT,Cleared After Full Review,Được Chấp Nhận Sau Khi Đánh Giá Kỹ,
pricing.output_patterns,pricing,OUTPUT,Patterns Worth Watching,Các Mô Hình Cần Theo Dõi,
pricing.output_risk,pricing,OUTPUT,"Clear Risk, Clear Reasoning",Rủi Ro Rõ Ràng, Lý Do Cụ Thể,
pricing.whofor_title,pricing,WHO FOR,Who This Is For,Dịch Vụ Này Dành Cho Ai,
pricing.problem_title,pricing,PROBLEM,The Problem,Vấn Đề,
pricing.value_title,pricing,VALUE,What You Are Actually Paying For,Bạn Thực Sự Đang Trả Tiền Cho Điều Gì,
pricing.options_title,pricing,OPTIONS,Service Options,Các Gói Dịch Vụ,
pricing.sos_title,pricing,OPTIONS,SOS Hotline,SOS Hotline,DNT SOS Hotline
pricing.dfy_title,pricing,OPTIONS,Done-For-You,Dịch Vụ Trọn Gói (Done-For-You),
pricing.selfserve_title,pricing,OPTIONS,Self-Serve,Tự Phục Vụ (Self-Serve),
pricing.coming_soon,pricing,OPTIONS,Coming Soon,Sắp Ra Mắt,
pricing.calculator_title,pricing,CALCULATOR,Pricing Calculator,Công Cụ Tính Giá,
pricing.calculate_price,pricing,CALCULATOR,Calculate Your Price,Tính Giá Của Bạn,
pricing.get_started,pricing,CALCULATOR,Get Started,Bắt Đầu Ngay,
pricing.sos_section_title,pricing,SOS SECTION,SOS Email Hotline,Đường Dây Nóng SOS Email,DNT SOS
pricing.sos_free_help,pricing,SOS SECTION,Free Email Help,Hỗ Trợ Email Miễn Phí,
pricing.sos_learn_more,pricing,SOS SECTION,Learn More About SOS Hotline,Tìm Hiểu Thêm Về SOS Hotline,DNT SOS Hotline
pricing.cta_title,pricing,CTA,Ready to Clean Your List?,Sẵn Sàng Làm Sạch Danh Sách?,
pricing.cta_getstarted,pricing,CTA,Get My List Cleaned,Làm Sạch Danh Sách Của Tôi,
pricing.cta_waitlist,pricing,CTA,Join the Waitlist,Tham Gia Danh Sách Chờ,
pricing.cta_freehelp,pricing,CTA,Get Free Help,Nhận Trợ Giúp Miễn Phí,
pricing.faq_title,pricing,FAQ,Questions?,Câu Hỏi?,
pricing.output_subtitle,pricing,OUTPUT,A cleaned list with clear recommendations.,Một danh sách sạch với các khuyến nghị rõ ràng.,
pricing.output_cleared_desc,pricing,OUTPUT,No risk patterns surfaced during review. Domain behavior and historical signals support continued sending.,Không phát hiện mô hình rủi ro khi đánh giá. Hành vi tên miền và tín hiệu lịch sử ủng hộ việc tiếp tục gửi.,
pricing.output_patterns_desc,pricing,OUTPUT,These require judgment. We surface historical patterns and relationship context. You decide how to segment based on your tolerance and goals.,Những cái này cần sự phán đoán. Chúng tôi đưa ra các mô hình lịch sử và ngữ cảnh mối quan hệ. Bạn quyết định cách phân khúc dựa trên mức độ chấp nhận rủi ro và mục tiêu của mình.,
pricing.output_risk_desc,pricing,OUTPUT,Clear risk signals: known problem domains, disposable patterns, historical trap indicators. Each address includes the specific flags that earned suppression. You will know exactly why.,Tín hiệu rủi ro rõ ràng: tên miền có vấn đề đã biết, mô hình email dùng một lần, chỉ số bẫy (trap) trong lịch sử. Mỗi địa chỉ bao gồm các cờ cụ thể dẫn đến việc loại bỏ. Bạn sẽ biết chính xác tại sao.,
pricing.output_note,pricing,OUTPUT,Every decision comes with the reasoning behind it. This is not a pass/fail list. It is a decision-making tool built on historical domain behavior and pattern recognition.,Mọi quyết định đều đi kèm lý do. Đây không phải là danh sách đạt/không đạt. Đây là công cụ ra quyết định dựa trên hành vi tên miền lịch sử và nhận dạng mô hình.,
pricing.whofor_subtitle,pricing,WHO FOR,Marketers who already send email and want to protect their sender reputation.,Các marketer đã gửi email và muốn bảo vệ danh tiếng người gửi (sender reputation) của họ.,
pricing.whofor_note,pricing,WHO FOR,"If you care about long-term reputation, not just short-term volume, this is for you.","Nếu bạn quan tâm đến danh tiếng lâu dài, không chỉ là số lượng ngắn hạn, thì đây là dành cho bạn.",
pricing.whofor_item1,pricing,WHO FOR,Running campaigns but seeing declining engagement,Đang chạy chiến dịch nhưng thấy tương tác giảm sút,
pricing.whofor_item2,pricing,WHO FOR,"Worried about bounces, complaints, or blocklists",Lo lắng về tỷ lệ bounce, khiếu nại hoặc blocklist,
pricing.whofor_item3,pricing,WHO FOR,Inheriting a list you did not build,Thừa hưởng một danh sách mà bạn không tự xây dựng,
pricing.whofor_item4,pricing,WHO FOR,"Under pressure to ""just send"" but sensing risk","Bị áp lực phải ""cứ gửi đi"" nhưng cảm thấy rủi ro",
pricing.whofor_item5,pricing,WHO FOR,Trying to explain deliverability to a boss who does not get it,Cố gắng giải thích về deliverability cho sếp không hiểu về nó,
pricing.badge_deliverable,pricing,PROBLEM,Deliverable,Gửi Được,
pricing.badge_undeliverable,pricing,PROBLEM,Undeliverable,Không Gửi Được,
pricing.badge_risky,pricing,PROBLEM,Risky,Rủi Ro,
pricing.badge_unknown,pricing,PROBLEM,Unknown,Không Xác Định,
pricing.problem_intro,pricing,PROBLEM,Most list cleaning tools give you a status and leave you guessing. That tells you what to remove. It does not tell you what is actually wrong.,Hầu hết các công cụ làm sạch danh sách chỉ đưa ra trạng thái và để bạn tự đoán. Nó cho bạn biết cần xóa gì, nhưng không cho bạn biết thực sự có vấn đề gì.,
pricing.problem_q1,pricing,PROBLEM,Why is engagement dropping?,Tại sao tương tác giảm?,
pricing.problem_q2,pricing,PROBLEM,Why are complaints rising?,Tại sao khiếu nại tăng?,
pricing.problem_q3,pricing,PROBLEM,"Is it the list, the sending, or both?","Do danh sách, do cách gửi, hay cả hai?",
pricing.problem_q4,pricing,PROBLEM,Which addresses are actually hurting me?,Những địa chỉ nào thực sự đang làm hại tôi?,
pricing.problem_q5,pricing,PROBLEM,What patterns should I watch for?,Tôi nên theo dõi những mô hình nào?,
pricing.problem_q6,pricing,PROBLEM,What should I do about the ""risky"" ones?,Tôi nên làm gì với những cái ""rủi ro""?,
pricing.problem_footer,pricing,PROBLEM,We give you the context to answer those questions.,Chúng tôi cung cấp ngữ cảnh để bạn trả lời những câu hỏi đó.,
pricing.value_subtitle,pricing,VALUE,The difference between checking and interpreting.,Sự khác biệt giữa kiểm tra và diễn giải.,
pricing.comp_them1,pricing,VALUE,Validators check if an inbox exists.,Các Validator kiểm tra xem inbox có tồn tại không.,
pricing.comp_us1,pricing,VALUE,We assess whether sending there is safe.,Chúng tôi đánh giá xem gửi đến đó có an toàn không.,
pricing.comp_them2,pricing,VALUE,Validators give you a status.,Các Validator cho bạn một trạng thái.,
pricing.comp_us2,pricing,VALUE,We give you the reasoning behind a decision.,Chúng tôi đưa ra lý do đằng sau quyết định.,
pricing.comp_them3,pricing,VALUE,Validators flag what bounces.,Các Validator gắn cờ những gì bị bounce.,
pricing.comp_us3,pricing,VALUE,We flag what damages your reputation without bouncing.,Chúng tôi gắn cờ những gì làm hại danh tiếng của bạn mà không cần bị bounce.,
pricing.comp_them4,pricing,VALUE,Validators process volume.,Các Validator xử lý số lượng lớn.,
pricing.comp_us4,pricing,VALUE,We interpret patterns across your entire list.,Chúng tôi diễn giải các mô hình trên toàn bộ danh sách của bạn.,
pricing.comp_them5,pricing,VALUE,Validators leave you guessing.,Các Validator để bạn tự đoán.,
pricing.comp_us5,pricing,VALUE,We tell you what to do and why.,Chúng tôi cho bạn biết cần làm gì và tại sao.,
pricing.badge_guidance,pricing,OPTIONS,Guidance,Hướng Dẫn,
pricing.badge_execution,pricing,OPTIONS,Execution,Thực Thi,
pricing.badge_automation,pricing,OPTIONS,Automation,Tự Động Hóa,
pricing.sos_desc,pricing,OPTIONS,Free expert support for deliverability questions. No data touched. No list processed. Just honest answers.,Hỗ trợ chuyên gia miễn phí cho các câu hỏi về deliverability. Không đụng đến dữ liệu. Không xử lý danh sách. Chỉ có câu trả lời trung thực.,
pricing.sos_status,pricing,OPTIONS,Use it before, during, or after cleaning to understand your situation.,Sử dụng trước, trong hoặc sau khi làm sạch để hiểu tình trạng của bạn.,
pricing.learn_more,pricing,OPTIONS,Learn more →,Tìm hiểu thêm →,
pricing.dfy_desc,pricing,OPTIONS,"Send us your list. We process it, label every address, and return results with clear reasoning.","Gửi danh sách cho chúng tôi. Chúng tôi xử lý, dán nhãn từng địa chỉ và trả về kết quả với lý do rõ ràng.",
pricing.dfy_status,pricing,OPTIONS,You get the decisions made for you. Available now.,Chúng tôi đưa ra quyết định thay bạn. Có sẵn ngay bây giờ.,
pricing.get_started_arrow,pricing,OPTIONS,Get started →,Bắt đầu →,
pricing.selfserve_desc,pricing,OPTIONS,"Upload your list. Download results. Same methodology as done-for-you, but you run it yourself.","Tải lên danh sách. Tải xuống kết quả. Cùng phương pháp luận như dịch vụ trọn gói, nhưng bạn tự chạy.",
pricing.selfserve_status,pricing,OPTIONS,Coming soon. Join the waitlist to get notified.,Sắp ra mắt. Tham gia danh sách chờ để nhận thông báo.,
pricing.join_waitlist,pricing,OPTIONS,Join Waitlist,Tham Gia Danh Sách Chờ,
pricing.newsletter_checkbox,pricing,OPTIONS,"Monthly deliverability insights (no spam, just signal)","Thông tin chi tiết về deliverability hàng tháng (không spam, chỉ có kiến thức hữu ích)",
pricing.free_credits,pricing,OPTIONS,+1,500 free credits,+1,500 credits miễn phí,
pricing.waitlist_success,pricing,OPTIONS,You're on the list! We'll notify you when self-serve launches.,Bạn đã có tên trong danh sách! Chúng tôi sẽ thông báo khi dịch vụ tự phục vụ ra mắt.,
pricing.options_note,pricing,OPTIONS,SOS tells you what to think about. Done-for-you does the thinking for you. Self-serve lets you do the thinking yourself.,SOS cho bạn biết cần nghĩ về điều gì. Dịch vụ trọn gói suy nghĩ thay bạn. Tự phục vụ để bạn tự suy nghĩ.,
pricing.calculator_subtitle,pricing,CALCULATOR,Pay only for what you need. Credits never expire.,Chỉ trả tiền cho những gì bạn cần. Credits không bao giờ hết hạn.,
pricing.calculator_intro,pricing,CALCULATOR,Simple. More volume, lower rate.,Đơn giản. Số lượng càng nhiều, giá càng thấp.,
pricing.how_many_emails,pricing,CALCULATOR,How many emails?,Bao nhiêu email?,
pricing.emails_unit,pricing,CALCULATOR,emails,email,
pricing.price_per_email,pricing,CALCULATOR,Price per email,Giá mỗi email,
pricing.total,pricing,CALCULATOR,Total,Tổng cộng,
pricing.calculator_note,pricing,CALCULATOR,Need more than 1 million?,Cần hơn 1 triệu?,
pricing.contact_us,pricing,CALCULATOR,Contact us,Liên hệ chúng tôi,
pricing.custom_pricing,pricing,CALCULATOR,for custom pricing.,để có báo giá tùy chỉnh.,
pricing.volume_pricing,pricing,CALCULATOR,Volume Pricing,Giá Theo Số Lượng,
pricing.list_size,pricing,CALCULATOR,List Size,Kích Thước Danh Sách,
pricing.per_email,pricing,CALCULATOR,Per Email,Mỗi Email,
pricing.sos_section_intro,pricing,SOS SECTION,Free email support for any email-related question.,Hỗ trợ email miễn phí cho bất kỳ câu hỏi nào liên quan đến email.,
pricing.sos_card_desc,pricing,SOS SECTION,Ask any email question. Get a real answer from a real expert. No sales pitch, no strings attached.,Hỏi bất kỳ câu hỏi nào về email. Nhận câu trả lời thực tế từ chuyên gia thực thụ. Không chào hàng, không ràng buộc.,
pricing.sos_duration,pricing,SOS SECTION,Response within 48 hours. Usually faster.,Phản hồi trong vòng 48 giờ. Thường nhanh hơn.,
pricing.cta_subtitle,pricing,CTA,Choose what works for you.,Chọn những gì phù hợp với bạn.,
pricing.cta_getstarted_desc,pricing,CTA,Done-for-you service. Send your list, get results.,Dịch vụ trọn gói. Gửi danh sách, nhận kết quả.,
pricing.cta_waitlist_desc,pricing,CTA,Be first to access self-serve when it launches.,Là người đầu tiên truy cập dịch vụ tự phục vụ khi ra mắt.,
pricing.cta_freehelp_desc,pricing,CTA,Email our SOS hotline with your questions.,Gửi câu hỏi của bạn đến đường dây nóng SOS.,
pricing.learn_more_btn,pricing,CTA,Learn More,Tìm Hiểu Thêm,
pricing.send_message,pricing,FAQ,Send us a message,Gửi tin nhắn cho chúng tôi,
pricing.response_time,pricing,FAQ,We respond within 48 hours. Usually faster.,Chúng tôi phản hồi trong vòng 48 giờ. Thường nhanh hơn.,
quiz.title,quiz,INTRO,Is Your List Safe?,Danh Sách Của Bạn Có An Toàn Không?,
quiz.result_noconsent_headline,quiz,RESULTS,We can absolutely help clean your list.,Chúng tôi hoàn toàn có thể giúp làm sạch danh sách của bạn.,
quiz.result_crisis_headline,quiz,RESULTS,You need triage, not just cleaning.,Bạn cần cấp cứu, không chỉ là làm sạch.,
quiz.result_toolfailure_headline,quiz,RESULTS,Your validation tool missed something.,Công cụ validation của bạn đã bỏ sót điều gì đó.,
quiz.result_directlink,quiz,RESULTS,Ready to go?,Sẵn sàng chưa?,
quiz.result_directlink_cta,quiz,RESULTS,Get My List Cleaned →,Làm Sạch Danh Sách Của Tôi →,
quiz.capture_title,quiz,CAPTURE,Save your diagnosis,Lưu kết quả chẩn đoán của bạn,
quiz.capture_subtitle,quiz,CAPTURE,Get your results emailed and optionally join our waitlist for self-serve tools.,Nhận kết quả qua email và tùy chọn tham gia danh sách chờ cho công cụ tự phục vụ.,
