Key,Page,Arabic
modal.timezone_cet,common,توقيت وسط أوروبا (CET)
modal.timezone_other,common,أخرى
modal.form_sending,common,جاري الإرسال...
modal.form_try_again,common,حاول مرة أخرى
modal.form_error,common,حدث خطأ ما. يرجى المحاولة مرة أخرى أو مراسلتنا مباشرة على ahoy@reviewmyemails.com
modal.request_received,common,تم استلام الطلب
modal.timezone_london,common,لندن (GMT/BST)
modal.timezone_singapore,common,توقيت سنغافورة
modal.timezone_sydney,common,التوقيت الشرقي الأسترالي
modal.timezone_alaska,common,توقيت ألاسكا
modal.timezone_hawaii,common,توقيت هاواي
modal.timezone_eet,common,توقيت شرق أوروبا
modal.timezone_gulf,common,توقيت الخليج
modal.timezone_india,common,التوقيت الهندي
modal.timezone_japan,common,توقيت اليابان
modal.timezone_nz,common,توقيت نيوزيلندا
sos.more_title,sos-hotline,تحتاج أكثر من مجرد نصيحة؟
sos.more_dfy,sos-hotline,مراجعة متكاملة
sos.more_dfy_cta,sos-hotline,انظر ماذا ستحصل
sos.more_expert,sos-hotline,تفسير الخبراء
sos.final_title,sos-hotline,جاهز لطرح سؤالك؟
sos.why_p1,sos-hotline,"نحن نقدم مساعدة حقيقية مجاناً لأن هذا هو الشيء الصحيح. معظم الأسئلة تقع ضمن أنماط شائعة أراها كل أسبوع. البعض يحتاج إجابة سريعة. البعض يحتاج دعماً أعمق. في كلتا الحالتين، تبدأ المحادثة بنفس الطريقة."
sos.why_p2,sos-hotline,"إذا كنت بحاجة لأكثر من التوجيه، نحن نقدم مراجعات قوائم متكاملة تتضمن تفسير الخبراء. لكن لا ضغوط. خط الطوارئ SOS موجود للمساعدة، وليس للبيع."
sos.final_subtext,sos-hotline,راسلنا. خلال 48 ساعة. وغالباً قبل ذلك.
