home.hero_quiz_prefix,homepage,HERO,Not sure yet?,Henüz emin değil misiniz?,
home.hero_quiz_link,homepage,HERO,Take the 2-minute risk check,2 dakikalık risk kontrolünü yapın,
dfy.hero_title,done-for-you,HERO,Validators check addresses. I read risk.,Doğrulayıcılar adresleri kontrol eder. Ben riski okurum.,
dfy.hero_subtitle,done-for-you,HERO,"Your list isn't broken. The assumptions behind it are. I read lists the way experience taught me, not the way software defaults to.","Listeniz bozuk değil. Arkasındaki varsayımlar öyle. Listeleri yazılımın varsayılanlarıyla değil, deneyimimin bana öğrettiği şekilde okurum.",
dfy.hero_cta,done-for-you,HERO,Get My List Cleaned,Listemi Temizle,
dfy.hero_cta_secondary,done-for-you,HERO,Contact Us First,Önce Bize Ulaşın,
dfy.output_title,done-for-you,OUTPUT,What You Get Back,Ne Geri Alırsınız,
dfy.output_subtitle,done-for-you,OUTPUT,"Your list sorted into three buckets, with the labels and reasoning behind each decision.","Listeniz, her kararın arkasındaki etiketler ve gerekçelerle üç gruba ayrılır.",
dfy.output_safe,done-for-you,OUTPUT,Safe to Mail,Gönderim İçin Güvenli (Safe),
dfy.output_safe_desc,done-for-you,OUTPUT,"No flags found. Domain checks out, validation passed, no risk signals. These are clear to send.","Herhangi bir bayrak bulunamadı. Alan adı doğrulandı, doğrulama geçti, risk sinyali yok. Bunlar gönderim için temiz.",
dfy.output_yellow,done-for-you,OUTPUT,Yellow Flags,Sarı Bayraklar (Yellow Flags),
dfy.output_yellow_desc,done-for-you,OUTPUT,Each address comes with specific labels explaining why it landed here. Context matters. How you segment and send to these decides the outcome.,Her adres, neden burada olduğunu açıklayan özel etiketlerle gelir. Bağlam önemlidir. Bunları nasıl segmentlere ayırıp gönderim yapacağınız sonucu belirler.,
dfy.output_donotmail,done-for-you,OUTPUT,Do Not Mail,Gönderme (Do Not Mail),
dfy.output_donotmail_desc,done-for-you,OUTPUT,"Each address comes with specific labels explaining why. Invalid, trap-likely, disposable, or other risk signals. Don't send here.","Her adres nedenini açıklayan özel etiketlerle gelir. Geçersiz (Invalid), tuzak ihtimali (Trap), geçici (Disposable) veya diğer risk sinyalleri. Buraya göndermeyin.",
dfy.output_note,done-for-you,OUTPUT,You also get the validation and DNS data that informed each decision. Not just buckets. The full picture.,Ayrıca her kararı bilgilendiren doğrulama ve DNS verilerini de alırsınız. Sadece gruplar değil. Resmin tamamı.,
dfy.howread_title,done-for-you,HOW I READ,How I Read Your List,Listenizi Nasıl Okuyorum,
dfy.howread_beyond,done-for-you,HOW I READ,I Look Beyond the Address,Adresin Ötesine Bakarım,
dfy.howread_beyond_desc,done-for-you,HOW I READ,"Domain behavior, history, and patterns across your entire list. Context, not just existence. An address that ""works"" can still be dangerous.","Tüm listenizdeki alan adı davranışı, geçmişi ve kalıpları. Bağlam, sadece varoluş değil. ""Çalışan"" bir adres hala tehlikeli olabilir.",
dfy.howread_miss,done-for-you,HOW I READ,I Check What Others Miss,Başkalarının Kaçırdığını Kontrol Ederim,
dfy.howread_miss_desc,done-for-you,HOW I READ,"Traps, role accounts, toxic domains, disposable patterns. The things that don't bounce but still hurt you. I've learned what to look for.","Tuzaklar, rol hesapları, toksik alan adları, geçici kalıplar. Geri dönmeyen (bounce etmeyen) ama yine de size zarar veren şeyler. Neye bakmam gerektiğini öğrendim.",
dfy.howread_reasoning,done-for-you,HOW I READ,I Explain My Reasoning,Gerekçemi Açıklarım,
dfy.howread_reasoning_desc,done-for-you,HOW I READ,"Not just labels. You get the thinking behind each decision so you understand why, and can make smarter calls next time.","Sadece etiketler değil. Her kararın arkasındaki düşünceyi alırsınız, böylece nedenini anlar ve bir dahaki sefere daha akıllıca kararlar verebilirsiniz.",
sos.badge,sos-hotline,HERO,Free Service,Ücretsiz Hizmet,
sos.title,sos-hotline,HERO,Email SOS Hotline,E-posta SOS Hattı,DNT SOS Hotline
sos.subtitle,sos-hotline,HERO,"Free expert guidance for anyone with an email question. No sales pitch. No catch. Just honest answers from a deliverability specialist who gets emails into inboxes for a living.","E-posta sorusu olan herkes için ücretsiz uzman rehberliği. Satış yok. Gizli şart yok. Sadece işi e-postaları gelen kutusuna ulaştırmak olan bir teslim edilebilirlik uzmanından dürüst cevaplar.",
sos.cta,sos-hotline,HERO,Contact the SOS Hotline,SOS Hattı ile İletişime Geçin,DNT SOS Hotline
sos.note,sos-hotline,HERO,"Within 48 hours. Often sooner.","48 saat içinde. Genellikle daha erken.",
sos.how_title,sos-hotline,HOW IT WORKS,How It Works,Nasıl Çalışır,
sos.testimonials_title,sos-hotline,TESTIMONIALS,What People Say,İnsanlar Ne Diyor,
sos.why_title,sos-hotline,WHY FREE,Why Is This Free?,Bu Neden Ücretsiz?,
sos.why_free_p1,sos-hotline,WHY FREE,"We offer real help without charging because it is the right thing to do.","Gerçek yardımı ücret almadan sunuyoruz, çünkü yapılması gereken doğru şey bu.",
sos.final_cta_subtext,sos-hotline,FINAL CTA,"Email us. Within 48 hours. Often sooner.","Bize e-posta gönderin. 48 saat içinde. Genellikle daha erken.",
sos.how_step1,sos-hotline,HOW IT WORKS,You send an email to the SOS Hotline,SOS Hattına bir e-posta gönderirsiniz,DNT SOS Hotline
sos.how_step2,sos-hotline,HOW IT WORKS,You receive an automatic reply confirming we got it,Aldığımızı onaylayan otomatik bir yanıt alırsınız,
sos.how_step3,sos-hotline,HOW IT WORKS,YT personally reads and responds within 48 hours,Yanna-Torry şahsen okur ve 48 saat içinde yanıt verir,DNT YT
pricing.sos_desc,pricing,SOS,Free expert support for deliverability questions. No data touched. No list processed. Just honest answers.,Teslim edilebilirlik soruları için ücretsiz uzman desteği. Verilerinize dokunulmaz. Liste işlenmez. Sadece dürüst cevaplar.,
pricing.sos_card_desc,pricing,SOS,"Ask any email question. Get a real answer from a real expert. No sales pitch, no strings attached.","Herhangi bir e-posta sorusu sorun. Gerçek bir uzmandan gerçek bir cevap alın. Satış konuşması yok, bağlayıcılık yok.",
pricing.sos_status,pricing,SOS,"Use it before, during, or after cleaning to understand your situation.","Durumunuzu anlamak için temizlikten önce, sırasında veya sonrasında kullanın.",
sos.modal_subtitle,sos-hotline,MODAL,Tell us what's going on and we'll get back to you within 24-48 hours.,Bize neler olduğunu anlatın, size 24-48 saat içinde geri dönelim.,
sos.topics_headline,sos-hotline,TOPICS,If it touches email, we can help.,Konu e-posta ise, yardımcı olabiliriz.,
sos.more_expert_cta,sos-hotline,BRIDGE,See the Process,Süreci Gör,
Key,Page,Section,English,Turkish,Notes
pricing.hero_title,pricing,HERO,Beyond Validation. We Tell You What Your List Means.,Doğrulamanın Ötesinde. Listenizin Ne Anlama Geldiğini Size Söylüyoruz.,
pricing.hero_subtitle,pricing,HERO,"Not just pass/fail. Every address comes with reasoning so you know what to keep, what to monitor, and what to suppress.","Sadece geçti/kaldı değil. Her adres bir gerekçeyle gelir, böylece neyi saklayacağınızı, neyi izleyeceğinizi ve neyi kaldıracağınızı (suppress) bilirsiniz.",
pricing.output_title,pricing,OUTPUT,What You Get,Ne Alırsınız,
pricing.output_cleared,pricing,OUTPUT,Cleared After Full Review,Tam İncelemeden Sonra Onaylandı,
pricing.output_patterns,pricing,OUTPUT,Patterns Worth Watching,İzlemeye Değer Kalıplar,
pricing.output_risk,pricing,OUTPUT,"Clear Risk, Clear Reasoning",Net Risk, Net Gerekçe,
pricing.whofor_title,pricing,WHO FOR,Who This Is For,Bu Kimin İçin,
pricing.problem_title,pricing,PROBLEM,The Problem,Sorun,
pricing.value_title,pricing,VALUE,What You Are Actually Paying For,Aslında Ne İçin Ödeme Yapıyorsunuz,
pricing.options_title,pricing,OPTIONS,Service Options,Hizmet Seçenekleri,
pricing.sos_title,pricing,OPTIONS,SOS Hotline,SOS Hattı,DNT SOS Hotline
pricing.dfy_title,pricing,OPTIONS,Done-For-You,Anahtar Teslim (Done-For-You),
pricing.selfserve_title,pricing,OPTIONS,Self-Serve,Self-Servis,
pricing.coming_soon,pricing,OPTIONS,Coming Soon,Çok Yakında,
pricing.calculator_title,pricing,CALCULATOR,Pricing Calculator,Fiyat Hesaplayıcı,
pricing.calculate_price,pricing,CALCULATOR,Calculate Your Price,Fiyatınızı Hesaplayın,
pricing.get_started,pricing,CALCULATOR,Get Started,Başlayın,
pricing.sos_section_title,pricing,SOS SECTION,SOS Email Hotline,E-posta SOS Hattı,DNT SOS
pricing.sos_free_help,pricing,SOS SECTION,Free Email Help,Ücretsiz E-posta Yardımı,
pricing.sos_learn_more,pricing,SOS SECTION,Learn More About SOS Hotline,SOS Hattı Hakkında Daha Fazla Bilgi Edinin,DNT SOS Hotline
pricing.cta_title,pricing,CTA,Ready to Clean Your List?,Listenizi Temizlemeye Hazır mısınız?,
pricing.cta_getstarted,pricing,CTA,Get My List Cleaned,Listemi Temizle,
pricing.cta_waitlist,pricing,CTA,Join the Waitlist,Bekleme Listesine Katılın,
pricing.cta_freehelp,pricing,CTA,Get Free Help,Ücretsiz Yardım Alın,
pricing.faq_title,pricing,FAQ,Questions?,Sorular?,
pricing.output_subtitle,pricing,OUTPUT,A cleaned list with clear recommendations.,Net önerilerle temizlenmiş bir liste.,
pricing.output_cleared_desc,pricing,OUTPUT,No risk patterns surfaced during review. Domain behavior and historical signals support continued sending.,İnceleme sırasında risk kalıpları ortaya çıkmadı. Alan adı davranışı ve geçmiş sinyaller gönderime devam etmeyi destekliyor.,
pricing.output_patterns_desc,pricing,OUTPUT,These require judgment. We surface historical patterns and relationship context. You decide how to segment based on your tolerance and goals.,Bunlar muhakeme gerektirir. Geçmiş kalıpları ve ilişki bağlamını ortaya çıkarıyoruz. Toleransınıza ve hedeflerinize göre nasıl segmentlere ayıracağınıza siz karar verirsiniz.,
pricing.output_risk_desc,pricing,OUTPUT,Clear risk signals: known problem domains, disposable patterns, historical trap indicators. Each address includes the specific flags that earned suppression. You will know exactly why.,Net risk sinyalleri: bilinen sorunlu alan adları, geçici e-posta kalıpları, geçmiş tuzak göstergeleri. Her adres, kaldırılmasını (suppression) gerektiren belirli bayrakları içerir. Nedenini tam olarak bileceksiniz.,
pricing.output_note,pricing,OUTPUT,Every decision comes with the reasoning behind it. This is not a pass/fail list. It is a decision-making tool built on historical domain behavior and pattern recognition.,Her karar arkasındaki gerekçeyle gelir. Bu bir geçti/kaldı listesi değildir. Geçmiş alan adı davranışına ve kalıp tanımaya dayalı bir karar verme aracıdır.,
pricing.whofor_subtitle,pricing,WHO FOR,Marketers who already send email and want to protect their sender reputation.,Halihazırda e-posta gönderen ve gönderici itibarını korumak isteyen pazarlamacılar.,
pricing.whofor_note,pricing,WHO FOR,"If you care about long-term reputation, not just short-term volume, this is for you.","Sadece kısa vadeli hacmi değil, uzun vadeli itibarı önemsiyorsanız, bu sizin içindir.",
pricing.whofor_item1,pricing,WHO FOR,Running campaigns but seeing declining engagement,Kampanyalar yürütüyor ancak etkileşimin düştüğünü görüyorsunuz,
pricing.whofor_item2,pricing,WHO FOR,"Worried about bounces, complaints, or blocklists",Bounce'lar, şikayetler veya blok listeleri hakkında endişelisiniz,
pricing.whofor_item3,pricing,WHO FOR,Inheriting a list you did not build,Sizin oluşturmadığınız bir listeyi devraldınız,
pricing.whofor_item4,pricing,WHO FOR,"Under pressure to ""just send"" but sensing risk","""Sadece gönder"" baskısı altındasınız ama risk hissediyorsunuz",
pricing.whofor_item5,pricing,WHO FOR,Trying to explain deliverability to a boss who does not get it,Bunu anlamayan bir patrona deliverability kavramını açıklamaya çalışıyorsunuz,
pricing.badge_deliverable,pricing,PROBLEM,Deliverable,Teslim Edilebilir,
pricing.badge_undeliverable,pricing,PROBLEM,Undeliverable,Teslim Edilemez,
pricing.badge_risky,pricing,PROBLEM,Risky,Riskli,
pricing.badge_unknown,pricing,PROBLEM,Unknown,Bilinmiyor,
pricing.problem_intro,pricing,PROBLEM,Most list cleaning tools give you a status and leave you guessing. That tells you what to remove. It does not tell you what is actually wrong.,Çoğu liste temizleme aracı size bir durum verir ve sizi tahminde bulunmaya bırakır. Bu size neyi kaldırmanız gerektiğini söyler. Aslında neyin yanlış olduğunu söylemez.,
pricing.problem_q1,pricing,PROBLEM,Why is engagement dropping?,Etkileşim neden düşüyor?,
pricing.problem_q2,pricing,PROBLEM,Why are complaints rising?,Şikayetler neden artıyor?,
pricing.problem_q3,pricing,PROBLEM,"Is it the list, the sending, or both?","Sorun listede mi, gönderimde mi, yoksa her ikisinde mi?",
pricing.problem_q4,pricing,PROBLEM,Which addresses are actually hurting me?,Hangi adresler bana gerçekten zarar veriyor?,
pricing.problem_q5,pricing,PROBLEM,What patterns should I watch for?,Hangi kalıplara dikkat etmeliyim?,
pricing.problem_q6,pricing,PROBLEM,What should I do about the ""risky"" ones?,"""Riskli"" olanlar hakkında ne yapmalıyım?",
pricing.problem_footer,pricing,PROBLEM,We give you the context to answer those questions.,Bu soruları cevaplamanız için size bağlamı sunuyoruz.,
pricing.value_subtitle,pricing,VALUE,The difference between checking and interpreting.,Kontrol etmek ve yorumlamak arasındaki fark.,
pricing.comp_them1,pricing,VALUE,Validators check if an inbox exists.,Doğrulayıcılar bir gelen kutusunun var olup olmadığını kontrol eder.,
pricing.comp_us1,pricing,VALUE,We assess whether sending there is safe.,Oraya göndermenin güvenli olup olmadığını değerlendiririz.,
pricing.comp_them2,pricing,VALUE,Validators give you a status.,Doğrulayıcılar size bir durum verir.,
pricing.comp_us2,pricing,VALUE,We give you the reasoning behind a decision.,Size bir kararın arkasındaki gerekçeyi veririz.,
pricing.comp_them3,pricing,VALUE,Validators flag what bounces.,Doğrulayıcılar bounce edenleri işaretler.,
pricing.comp_us3,pricing,VALUE,We flag what damages your reputation without bouncing.,Biz bounce etmeden itibarınıza zarar verenleri işaretleriz.,
pricing.comp_them4,pricing,VALUE,Validators process volume.,Doğrulayıcılar hacmi işler.,
pricing.comp_us4,pricing,VALUE,We interpret patterns across your entire list.,Listenizin tamamındaki kalıpları yorumlarız.,
pricing.comp_them5,pricing,VALUE,Validators leave you guessing.,Doğrulayıcılar sizi tahminde bulunmaya bırakır.,
pricing.comp_us5,pricing,VALUE,We tell you what to do and why.,Size ne yapmanız gerektiğini ve nedenini söyleriz.,
pricing.badge_guidance,pricing,OPTIONS,Guidance,Rehberlik,
pricing.badge_execution,pricing,OPTIONS,Execution,Uygulama,
pricing.badge_automation,pricing,OPTIONS,Automation,Otomasyon,
pricing.sos_desc,pricing,OPTIONS,Free expert support for deliverability questions. No data touched. No list processed. Just honest answers.,Teslim edilebilirlik soruları için ücretsiz uzman desteği. Verilerinize dokunulmaz. Liste işlenmez. Sadece dürüst cevaplar.,
pricing.sos_status,pricing,OPTIONS,Use it before, during, or after cleaning to understand your situation.,Durumunuzu anlamak için temizlikten önce, sırasında veya sonrasında kullanın.,
pricing.learn_more,pricing,OPTIONS,Learn more →,Daha fazla bilgi →,
pricing.dfy_desc,pricing,OPTIONS,"Send us your list. We process it, label every address, and return results with clear reasoning.","Listenizi bize gönderin. İşleyelim, her adresi etiketleyelim ve net gerekçelerle sonuçları geri gönderelim.",
pricing.dfy_status,pricing,OPTIONS,You get the decisions made for you. Available now.,Kararlar sizin adınıza verilir. Şu anda mevcut.,
pricing.get_started_arrow,pricing,OPTIONS,Get started →,Başlayın →,
pricing.selfserve_desc,pricing,OPTIONS,"Upload your list. Download results. Same methodology as done-for-you, but you run it yourself.","Listenizi yükleyin. Sonuçları indirin. Anahtar teslim ile aynı metodoloji, ancak kendiniz çalıştırırsınız.",
pricing.selfserve_status,pricing,OPTIONS,Coming soon. Join the waitlist to get notified.,Çok yakında. Haberdar olmak için bekleme listesine katılın.,
pricing.join_waitlist,pricing,OPTIONS,Join Waitlist,Bekleme Listesine Katıl,
pricing.newsletter_checkbox,pricing,OPTIONS,"Monthly deliverability insights (no spam, just signal)","Aylık deliverability içgörüleri (spam yok, sadece bilgi)",
pricing.free_credits,pricing,OPTIONS,+1,500 free credits,+1.500 ücretsiz kredi,
pricing.waitlist_success,pricing,OPTIONS,You're on the list! We'll notify you when self-serve launches.,Listedesiniz! Self-servis başladığında size haber vereceğiz.,
pricing.options_note,pricing,OPTIONS,SOS tells you what to think about. Done-for-you does the thinking for you. Self-serve lets you do the thinking yourself.,SOS ne hakkında düşünmeniz gerektiğini söyler. Anahtar teslim (Done-for-you) sizin yerinize düşünür. Self-servis kendiniz düşünmenizi sağlar.,
pricing.calculator_subtitle,pricing,CALCULATOR,Pay only for what you need. Credits never expire.,Sadece ihtiyacınız olanı ödeyin. Kredilerin süresi asla dolmaz.,
pricing.calculator_intro,pricing,CALCULATOR,Simple. More volume, lower rate.,Basit. Daha fazla hacim, daha düşük oran.,
pricing.how_many_emails,pricing,CALCULATOR,How many emails?,Kaç e-posta?,
pricing.emails_unit,pricing,CALCULATOR,emails,e-posta,
pricing.price_per_email,pricing,CALCULATOR,Price per email,E-posta başına fiyat,
pricing.total,pricing,CALCULATOR,Total,Toplam,
pricing.calculator_note,pricing,CALCULATOR,Need more than 1 million?,1 milyondan fazlasına mı ihtiyacınız var?,
pricing.contact_us,pricing,CALCULATOR,Contact us,Bize ulaşın,
pricing.custom_pricing,pricing,CALCULATOR,for custom pricing.,özel fiyatlandırma için.,
pricing.volume_pricing,pricing,CALCULATOR,Volume Pricing,Hacim Fiyatlandırması,
pricing.list_size,pricing,CALCULATOR,List Size,Liste Boyutu,
pricing.per_email,pricing,CALCULATOR,Per Email,E-posta Başına,
pricing.sos_section_intro,pricing,SOS SECTION,Free email support for any email-related question.,E-posta ile ilgili her türlü soru için ücretsiz e-posta desteği.,
pricing.sos_card_desc,pricing,SOS SECTION,Ask any email question. Get a real answer from a real expert. No sales pitch, no strings attached.,Herhangi bir e-posta sorusu sorun. Gerçek bir uzmandan gerçek bir cevap alın. Satış yok, bağlayıcılık yok.,
pricing.sos_duration,pricing,SOS SECTION,Response within 48 hours. Usually faster.,48 saat içinde yanıt. Genellikle daha hızlı.,
pricing.cta_subtitle,pricing,CTA,Choose what works for you.,Size uygun olanı seçin.,
pricing.cta_getstarted_desc,pricing,CTA,Done-for-you service. Send your list, get results.,Anahtar teslim hizmet. Listenizi gönderin, sonuçları alın.,
pricing.cta_waitlist_desc,pricing,CTA,Be first to access self-serve when it launches.,Başladığında self-servise ilk erişen siz olun.,
pricing.cta_freehelp_desc,pricing,CTA,Email our SOS hotline with your questions.,Sorularınızla SOS hattımıza e-posta gönderin.,
pricing.learn_more_btn,pricing,CTA,Learn More,Daha Fazla Bilgi,
pricing.send_message,pricing,FAQ,Send us a message,Bize mesaj gönderin,
pricing.response_time,pricing,FAQ,We respond within 48 hours. Usually faster.,48 saat içinde yanıt veriyoruz. Genellikle daha hızlı.,
quiz.title,quiz,INTRO,Is Your List Safe?,Listeniz Güvenli mi?,
quiz.result_noconsent_headline,quiz,RESULTS,We can absolutely help clean your list.,Listenizi temizlemenize kesinlikle yardımcı olabiliriz.,
quiz.result_crisis_headline,quiz,RESULTS,You need triage, not just cleaning.,Sadece temizliğe değil, acil müdahaleye ihtiyacınız var.,
quiz.result_toolfailure_headline,quiz,RESULTS,Your validation tool missed something.,Doğrulama aracınız bir şeyleri kaçırmış.,
quiz.result_directlink,quiz,RESULTS,Ready to go?,Başlamaya hazır mısınız?,
quiz.result_directlink_cta,quiz,RESULTS,Get My List Cleaned →,Listemi Temizle →,
quiz.capture_title,quiz,CAPTURE,Save your diagnosis,Teşhisinizi kaydedin,
quiz.capture_subtitle,quiz,CAPTURE,Get your results emailed and optionally join our waitlist for self-serve tools.,Sonuçlarınızı e-posta ile alın ve isteğe bağlı olarak self-servis araçlar için bekleme listemize katılın.,
quiz.capture_newsletter,quiz,CAPTURE,"Monthly deliverability insights (no spam, just signal)","Aylık deliverability içgörüleri (spam yok, sadece bilgi)",
quiz.capture_bonus,quiz,CAPTURE,1,500 credits when we launch,Başladığımızda 1.500 kredi,
quiz.capture_submit,quiz,CAPTURE,Send My Results,Sonuçlarımı Gönder,
quiz.capture_skip,quiz,CAPTURE,Skip,Atla,
quiz.capture_waitlist,quiz,CAPTURE,Notify me when self-serve launches,Self-servis başladığında bana bildir,
quiz.capture_contact,quiz,CAPTURE,Have someone reach out to discuss my situation (no sales pitch),Durumumu görüşmek için birinin bana ulaşmasını istiyorum (satış yok),
quiz.step_indicator,quiz,INTRO,Question {n} of {total},Soru {n} / {total},Use {n} and {total} as placeholders
quiz.q1,quiz,QUESTIONS,How did the majority of these emails get on your list?,Bu e-postaların çoğunluğu listenize nasıl girdi?,
quiz.q1_a1,quiz,QUESTIONS,They filled out a form on my website or app,Web sitemdeki veya uygulamamdaki bir formu doldurdular,
quiz.q1_a2,quiz,QUESTIONS,"Purchased, scraped, or cold outreach (no opt-in)","Satın alındı, kazındı (scraped) veya soğuk erişim (izin yok)",
quiz.q1_a3,quiz,QUESTIONS,Mixed sources / I inherited this list,Karışık kaynaklar / Bu listeyi devraldım,
quiz.q2,quiz,QUESTIONS,Is your sending domain authenticated with DMARC?,Gönderen alan adınız DMARC ile doğrulandı mı?,DNT DMARC
quiz.q2_a1,quiz,QUESTIONS,"Yes, DMARC is set to Reject or Quarantine","Evet, DMARC Reject veya Quarantine olarak ayarlı",DNT DMARC, Reject, Quarantine
quiz.q2_a2,quiz,QUESTIONS,"I think so, but I'm not sure of the settings","Sanırım öyle, ama ayarlardan emin değilim",
quiz.q2_a3,quiz,QUESTIONS,No / What is DMARC?,Hayır / DMARC nedir?,DNT DMARC
quiz.q3,quiz,QUESTIONS,Have you run this list through a validation tool?,Bu listeyi bir doğrulama aracından geçirdiniz mi?,
quiz.q3_a1,quiz,QUESTIONS,No, never / Not in the last 6 months,Hayır, asla / Son 6 ayda değil,
quiz.q3_a2,quiz,QUESTIONS,Yes, it said ""Valid"" but I'm still seeing issues,Evet, ""Geçerli"" dedi ama hala sorunlar görüyorum,
quiz.q3_a3,quiz,QUESTIONS,Yes, it flagged a lot as ""Unknown"" or ""Catch-All"",Evet, çoğunu ""Bilinmeyen"" veya ""Catch-All"" olarak işaretledi,
quiz.q3_a4,quiz,QUESTIONS,Yes, and everything seems fine,Evet ve her şey yolunda görünüyor,
quiz.q4,quiz,QUESTIONS,What brought you here today?,Sizi bugün buraya ne getirdi?,
quiz.q4_a1,quiz,QUESTIONS,Open rates are slowly dropping over time,Açılma oranları zamanla yavaşça düşüyor,
quiz.q4_a2,quiz,QUESTIONS,ESP warning or suspension,ESP uyarısı veya askıya alma,DNT ESP
quiz.q4_a3,quiz,QUESTIONS,I want to be safe before a big send,Büyük bir gönderimden önce güvende olmak istiyorum,
quiz.q4_a4,quiz,QUESTIONS,Tools give conflicting answers,Araçlar çelişkili cevaplar veriyor,
quiz.loading_main,quiz,LOADING,Analyzing your responses...,Yanıtlarınız analiz ediliyor...,
quiz.loading_sub,quiz,LOADING,Comparing against common patterns,Yaygın kalıplarla karşılaştırılıyor,
quiz.loading_checking,quiz,LOADING,Checking risk indicators...,Risk göstergeleri kontrol ediliyor...,
quiz.loading_matching,quiz,LOADING,Matching against known patterns,Bilinen kalıplarla eşleştiriliyor,
quiz.loading_preparing,quiz,LOADING,Preparing your diagnosis...,Teşhisiniz hazırlanıyor...,
quiz.result_pattern,quiz,RESULTS,This is one of the most common patterns I see.,Bu gördüğüm en yaygın kalıplardan biri.,
quiz.badge_higher_risk,quiz,RESULTS,Higher Risk,Daha Yüksek Risk,
quiz.badge_critical,quiz,RESULTS,Critical,Kritik,
quiz.badge_high_risk,quiz,RESULTS,High Risk,Yüksek Risk,
quiz.badge_medium_risk,quiz,RESULTS,Medium Risk,Orta Risk,
quiz.badge_low_risk,quiz,RESULTS,Low Risk,Düşük Risk,
quiz.reality_check_title,quiz,RESULTS,What we'll do,Ne yapacağız,
quiz.reality_check_title_alt,quiz,RESULTS,What this means,Bu ne anlama geliyor,
quiz.cta_talk_specialist,quiz,RESULTS,Talk to a Specialist,Bir Uzmanla Konuşun,
quiz.cta_full_review,quiz,RESULTS,Get a full review,Tam inceleme alın,
quiz.cta_diagnose,quiz,RESULTS,Let's diagnose this,Bunu teşhis edelim,
quiz.cta_clarity,quiz,RESULTS,Get clarity on your list,Listenizde netlik kazanın,
quiz.cta_diagnosis,quiz,RESULTS,Get the diagnosis,Teşhisi alın,
quiz.cta_safety,quiz,RESULTS,Get a safety check,Güvenlik kontrolü yapın,
quiz.result_infra_headline,quiz,RESULTS,Your infrastructure may be the problem.,Altyapınız sorun olabilir.,
quiz.result_catchall_headline,quiz,RESULTS,Those ""Unknown"" addresses are not unknown to me.,O ""Bilinmeyen"" adresler benim için bilinmeyen değil.,
quiz.result_decay_headline,quiz,RESULTS,Your list is slowly suffocating your delivery.,Listeniz teslimatınızı yavaşça boğuyor.,
quiz.result_preventive_headline,quiz,RESULTS,You are in a good spot. Let's keep it that way.,İyi bir noktadasınız. Böyle devam edelim.,
quiz.result_noconsent_subhead,quiz,RESULTS,Lists without explicit consent carry more risk—but that doesn't mean you can't send safely. We'll remove the addresses most likely to hurt you.,Açık rıza olmayan listeler daha fazla risk taşır—ancak bu güvenli gönderim yapamayacağınız anlamına gelmez. Size zarar verme olasılığı en yüksek olan adresleri kaldıracağız.,
quiz.result_crisis_subhead,quiz,RESULTS,An ESP warning is the final straw. Your reputation is already damaged. Automated cleaning alone will not get you reinstated.,Bir ESP uyarısı son damladır. İtibarınız zaten zarar görmüş. Sadece otomatik temizlik sizi eski halinize getirmez.,DNT ESP
quiz.result_toolfailure_subhead,quiz,RESULTS,You paid for syntax checking. You were punished for reputation. A 'Valid' email can still be a spam trap or chronic complainer.,Sözdizimi kontrolü için ödeme yaptınız. İtibar için cezalandırıldınız. 'Geçerli' bir e-posta hala bir spam tuzağı veya kronik şikayetçi olabilir.,
