pricing.hero_title,pricing,HERO,Beyond Validation. We Tell You What Your List Means.,Di Luar Validasi. Kami Memberitahu Anda Arti Daftar Anda.,
pricing.hero_subtitle,pricing,HERO,"Not just pass/fail. Every address comes with reasoning so you know what to keep, what to monitor, and what to suppress.","Bukan hanya lulus/gagal. Setiap alamat disertai alasan sehingga Anda tahu apa yang harus disimpan, dipantau, dan ditahan (suppress).",
pricing.output_title,pricing,OUTPUT,What You Get,Apa yang Anda Dapatkan,
pricing.output_cleared,pricing,OUTPUT,Cleared After Full Review,Disetujui Setelah Tinjauan Penuh,
pricing.output_patterns,pricing,OUTPUT,Patterns Worth Watching,Pola yang Layak Dipantau,
pricing.output_risk,pricing,OUTPUT,"Clear Risk, Clear Reasoning",Risiko Jelas, Alasan Jelas,
pricing.whofor_title,pricing,WHO FOR,Who This Is For,Untuk Siapa Ini,
pricing.problem_title,pricing,PROBLEM,The Problem,Masalahnya,
pricing.value_title,pricing,VALUE,What You Are Actually Paying For,Apa yang Sebenarnya Anda Bayar,
pricing.options_title,pricing,OPTIONS,Service Options,Pilihan Layanan,
pricing.sos_title,pricing,OPTIONS,SOS Hotline,Hotline SOS,DNT SOS Hotline
pricing.dfy_title,pricing,OPTIONS,Done-For-You,Layanan Lengkap (Done-For-You),
pricing.selfserve_title,pricing,OPTIONS,Self-Serve,Layanan Mandiri (Self-Serve),
pricing.coming_soon,pricing,OPTIONS,Coming Soon,Segera Hadir,
pricing.calculator_title,pricing,CALCULATOR,Pricing Calculator,Kalkulator Harga,
pricing.calculate_price,pricing,CALCULATOR,Calculate Your Price,Hitung Harga Anda,
pricing.get_started,pricing,CALCULATOR,Get Started,Mulai Sekarang,
pricing.sos_section_title,pricing,SOS SECTION,SOS Email Hotline,Hotline Email SOS,DNT SOS
pricing.sos_free_help,pricing,SOS SECTION,Free Email Help,Bantuan Email Gratis,
pricing.sos_learn_more,pricing,SOS SECTION,Learn More About SOS Hotline,Pelajari Lebih Lanjut Tentang Hotline SOS,DNT SOS Hotline
pricing.cta_title,pricing,CTA,Ready to Clean Your List?,Siap Membersihkan Daftar Anda?,
pricing.cta_getstarted,pricing,CTA,Get My List Cleaned,Bersihkan Daftar Saya,
pricing.cta_waitlist,pricing,CTA,Join the Waitlist,Gabung Daftar Tunggu,
pricing.cta_freehelp,pricing,CTA,Get Free Help,Dapatkan Bantuan Gratis,
pricing.faq_title,pricing,FAQ,Questions?,Pertanyaan?,
pricing.output_subtitle,pricing,OUTPUT,A cleaned list with clear recommendations.,Daftar yang bersih dengan rekomendasi yang jelas.,
pricing.output_cleared_desc,pricing,OUTPUT,No risk patterns surfaced during review. Domain behavior and historical signals support continued sending.,Tidak ada pola risiko yang muncul selama peninjauan. Perilaku domain dan sinyal historis mendukung pengiriman lanjutan.,
pricing.output_patterns_desc,pricing,OUTPUT,These require judgment. We surface historical patterns and relationship context. You decide how to segment based on your tolerance and goals.,Ini membutuhkan penilaian. Kami memunculkan pola historis dan konteks hubungan. Anda memutuskan cara membagi segmen berdasarkan toleransi dan tujuan Anda.,
pricing.output_risk_desc,pricing,OUTPUT,Clear risk signals: known problem domains, disposable patterns, historical trap indicators. Each address includes the specific flags that earned suppression. You will know exactly why.,Sinyal risiko yang jelas: domain bermasalah yang diketahui, pola sekali pakai, indikator jebakan historis. Setiap alamat menyertakan bendera spesifik yang menyebabkannya ditahan. Anda akan tahu persis alasannya.,
pricing.output_note,pricing,OUTPUT,Every decision comes with the reasoning behind it. This is not a pass/fail list. It is a decision-making tool built on historical domain behavior and pattern recognition.,Setiap keputusan disertai dengan alasan di baliknya. Ini bukan daftar lulus/gagal. Ini adalah alat pengambilan keputusan yang dibangun berdasarkan perilaku domain historis dan pengenalan pola.,
pricing.whofor_subtitle,pricing,WHO FOR,Marketers who already send email and want to protect their sender reputation.,Pemasar yang sudah mengirim email dan ingin melindungi reputasi pengirim mereka.,
pricing.whofor_note,pricing,WHO FOR,"If you care about long-term reputation, not just short-term volume, this is for you.","Jika Anda peduli dengan reputasi jangka panjang, bukan hanya volume jangka pendek, ini untuk Anda.",
pricing.whofor_item1,pricing,WHO FOR,Running campaigns but seeing declining engagement,Menjalankan kampanye tetapi melihat keterlibatan menurun,
pricing.whofor_item2,pricing,WHO FOR,"Worried about bounces, complaints, or blocklists",Khawatir tentang bounce, keluhan, atau daftar blokir (blocklist),
pricing.whofor_item3,pricing,WHO FOR,Inheriting a list you did not build,Mewarisi daftar yang tidak Anda buat sendiri,
pricing.whofor_item4,pricing,WHO FOR,"Under pressure to ""just send"" but sensing risk","Di bawah tekanan untuk ""kirim saja"" tetapi merasakan risiko",
pricing.whofor_item5,pricing,WHO FOR,Trying to explain deliverability to a boss who does not get it,Mencoba menjelaskan deliverability kepada bos yang tidak mengerti,
pricing.badge_deliverable,pricing,PROBLEM,Deliverable,Dapat Terkirim,
pricing.badge_undeliverable,pricing,PROBLEM,Undeliverable,Tidak Dapat Terkirim,
pricing.badge_risky,pricing,PROBLEM,Risky,Berisiko,
pricing.badge_unknown,pricing,PROBLEM,Unknown,Tidak Diketahui,
pricing.problem_intro,pricing,PROBLEM,Most list cleaning tools give you a status and leave you guessing. That tells you what to remove. It does not tell you what is actually wrong.,Sebagian besar alat pembersih daftar memberi Anda status dan membiarkan Anda menebak-nebak. Itu memberi tahu Anda apa yang harus dihapus. Itu tidak memberi tahu Anda apa yang sebenarnya salah.,
pricing.problem_q1,pricing,PROBLEM,Why is engagement dropping?,Mengapa keterlibatan menurun?,
pricing.problem_q2,pricing,PROBLEM,Why are complaints rising?,Mengapa keluhan meningkat?,
pricing.problem_q3,pricing,PROBLEM,"Is it the list, the sending, or both?","Apakah itu daftarnya, pengirimannya, atau keduanya?",
pricing.problem_q4,pricing,PROBLEM,Which addresses are actually hurting me?,Alamat mana yang sebenarnya merugikan saya?,
pricing.problem_q5,pricing,PROBLEM,What patterns should I watch for?,Pola apa yang harus saya perhatikan?,
pricing.problem_q6,pricing,PROBLEM,What should I do about the ""risky"" ones?,Apa yang harus saya lakukan dengan yang ""berisiko""?,
pricing.problem_footer,pricing,PROBLEM,We give you the context to answer those questions.,Kami memberi Anda konteks untuk menjawab pertanyaan-pertanyaan itu.,
pricing.value_subtitle,pricing,VALUE,The difference between checking and interpreting.,Perbedaan antara memeriksa dan menafsirkan.,
pricing.comp_them1,pricing,VALUE,Validators check if an inbox exists.,Validator memeriksa apakah kotak masuk ada.,
pricing.comp_us1,pricing,VALUE,We assess whether sending there is safe.,Kami menilai apakah pengiriman ke sana aman.,
pricing.comp_them2,pricing,VALUE,Validators give you a status.,Validator memberi Anda status.,
pricing.comp_us2,pricing,VALUE,We give you the reasoning behind a decision.,Kami memberi Anda alasan di balik keputusan.,
pricing.comp_them3,pricing,VALUE,Validators flag what bounces.,Validator menandai apa yang bounce.,
pricing.comp_us3,pricing,VALUE,We flag what damages your reputation without bouncing.,Kami menandai apa yang merusak reputasi Anda tanpa bounce.,
pricing.comp_them4,pricing,VALUE,Validators process volume.,Validator memproses volume.,
pricing.comp_us4,pricing,VALUE,We interpret patterns across your entire list.,Kami menafsirkan pola di seluruh daftar Anda.,
pricing.comp_them5,pricing,VALUE,Validators leave you guessing.,Validator membiarkan Anda menebak-nebak.,
pricing.comp_us5,pricing,VALUE,We tell you what to do and why.,Kami memberi tahu Anda apa yang harus dilakukan dan mengapa.,
pricing.badge_guidance,pricing,OPTIONS,Guidance,Panduan,
pricing.badge_execution,pricing,OPTIONS,Execution,Eksekusi,
pricing.badge_automation,pricing,OPTIONS,Automation,Otomatisasi,
pricing.sos_desc,pricing,OPTIONS,Free expert support for deliverability questions. No data touched. No list processed. Just honest answers.,Dukungan ahli gratis untuk pertanyaan deliverability. Tidak menyentuh data. Tidak memproses daftar. Hanya jawaban jujur.,
pricing.sos_status,pricing,OPTIONS,Use it before, during, or after cleaning to understand your situation.,Gunakan sebelum, selama, atau setelah pembersihan untuk memahami situasi Anda.,
pricing.learn_more,pricing,OPTIONS,Learn more →,Pelajari lebih lanjut →,
pricing.dfy_desc,pricing,OPTIONS,"Send us your list. We process it, label every address, and return results with clear reasoning.","Kirimkan daftar Anda kepada kami. Kami memprosesnya, memberi label setiap alamat, dan mengembalikan hasil dengan alasan yang jelas.",
pricing.dfy_status,pricing,OPTIONS,You get the decisions made for you. Available now.,Anda mendapatkan keputusan yang dibuat untuk Anda. Tersedia sekarang.,
pricing.get_started_arrow,pricing,OPTIONS,Get started →,Mulai sekarang →,
pricing.selfserve_desc,pricing,OPTIONS,"Upload your list. Download results. Same methodology as done-for-you, but you run it yourself.","Unggah daftar Anda. Unduh hasilnya. Metodologi yang sama dengan layanan lengkap, tetapi Anda menjalankannya sendiri.",
pricing.selfserve_status,pricing,OPTIONS,Coming soon. Join the waitlist to get notified.,Segera hadir. Gabung daftar tunggu untuk mendapatkan notifikasi.,
pricing.join_waitlist,pricing,OPTIONS,Join Waitlist,Gabung Daftar Tunggu,
pricing.newsletter_checkbox,pricing,OPTIONS,"Monthly deliverability insights (no spam, just signal)","Wawasan deliverability bulanan (tidak ada spam, hanya sinyal)",
pricing.free_credits,pricing,OPTIONS,+1,500 free credits,+1.500 kredit gratis,
pricing.waitlist_success,pricing,OPTIONS,You're on the list! We'll notify you when self-serve launches.,Anda sudah masuk daftar! Kami akan memberi tahu Anda saat layanan mandiri diluncurkan.,
pricing.options_note,pricing,OPTIONS,SOS tells you what to think about. Done-for-you does the thinking for you. Self-serve lets you do the thinking yourself.,SOS memberi tahu Anda apa yang harus dipikirkan. Layanan lengkap memikirkannya untuk Anda. Layanan mandiri membiarkan Anda memikirkannya sendiri.,
pricing.calculator_subtitle,pricing,CALCULATOR,Pay only for what you need. Credits never expire.,Bayar hanya untuk apa yang Anda butuhkan. Kredit tidak pernah kadaluarsa.,
pricing.calculator_intro,pricing,CALCULATOR,Simple. More volume, lower rate.,Sederhana. Lebih banyak volume, tarif lebih rendah.,
pricing.how_many_emails,pricing,CALCULATOR,How many emails?,Berapa banyak email?,
pricing.emails_unit,pricing,CALCULATOR,emails,email,
pricing.price_per_email,pricing,CALCULATOR,Price per email,Harga per email,
pricing.total,pricing,CALCULATOR,Total,Total,
pricing.calculator_note,pricing,CALCULATOR,Need more than 1 million?,Butuh lebih dari 1 juta?,
pricing.contact_us,pricing,CALCULATOR,Contact us,Hubungi kami,
pricing.custom_pricing,pricing,CALCULATOR,for custom pricing.,untuk harga khusus.,
pricing.volume_pricing,pricing,CALCULATOR,Volume Pricing,Harga Volume,
pricing.list_size,pricing,CALCULATOR,List Size,Ukuran Daftar,
pricing.per_email,pricing,CALCULATOR,Per Email,Per Email,
pricing.sos_section_intro,pricing,SOS SECTION,Free email support for any email-related question.,Dukungan email gratis untuk setiap pertanyaan terkait email.,
pricing.sos_card_desc,pricing,SOS SECTION,Ask any email question. Get a real answer from a real expert. No sales pitch, no strings attached.,Ajukan pertanyaan email apa pun. Dapatkan jawaban nyata dari ahli nyata. Tidak ada promosi penjualan, tidak ada ikatan.,
pricing.sos_duration,pricing,SOS SECTION,Response within 48 hours. Usually faster.,Respon dalam 48 jam. Biasanya lebih cepat.,
pricing.cta_subtitle,pricing,CTA,Choose what works for you.,Pilih yang cocok untuk Anda.,
pricing.cta_getstarted_desc,pricing,CTA,Done-for-you service. Send your list, get results.,Layanan lengkap. Kirim daftar Anda, dapatkan hasil.,
pricing.cta_waitlist_desc,pricing,CTA,Be first to access self-serve when it launches.,Jadilah yang pertama mengakses layanan mandiri saat diluncurkan.,
pricing.cta_freehelp_desc,pricing,CTA,Email our SOS hotline with your questions.,Kirim email ke hotline SOS kami dengan pertanyaan Anda.,
pricing.learn_more_btn,pricing,CTA,Learn More,Pelajari Lebih Lanjut,
pricing.send_message,pricing,FAQ,Send us a message,Kirim pesan kepada kami,
pricing.response_time,pricing,FAQ,We respond within 48 hours. Usually faster.,Kami merespon dalam 48 jam. Biasanya lebih cepat.,
quiz.title,quiz,INTRO,Is Your List Safe?,Apakah Daftar Anda Aman?,
quiz.result_noconsent_headline,quiz,RESULTS,We can absolutely help clean your list.,Kami benar-benar dapat membantu membersihkan daftar Anda.,
quiz.result_crisis_headline,quiz,RESULTS,You need triage, not just cleaning.,Anda butuh triase (penanganan darurat), bukan hanya pembersihan.,
quiz.result_toolfailure_headline,quiz,RESULTS,Your validation tool missed something.,Alat validasi Anda melewatkan sesuatu.,
quiz.result_directlink,quiz,RESULTS,Ready to go?,Siap untuk mulai?,
quiz.result_directlink_cta,quiz,RESULTS,Get My List Cleaned →,Bersihkan Daftar Saya →,
quiz.capture_title,quiz,CAPTURE,Save your diagnosis,Simpan diagnosis Anda,
quiz.capture_subtitle,quiz,CAPTURE,Get your results emailed and optionally join our waitlist for self-serve tools.,Dapatkan hasil Anda melalui email dan opsional bergabung dengan daftar tunggu kami untuk alat layanan mandiri.,
quiz.capture_newsletter,quiz,CAPTURE,"Monthly deliverability insights (no spam, just signal)","Wawasan deliverability bulanan (tidak ada spam, hanya sinyal)",
quiz.capture_bonus,quiz,CAPTURE,1,500 credits when we launch,1.500 kredit saat kami meluncurkan,
quiz.capture_submit,quiz,CAPTURE,Send My Results,Kirim Hasil Saya,
quiz.capture_skip,quiz,CAPTURE,Skip,Lewati,
quiz.capture_waitlist,quiz,CAPTURE,Notify me when self-serve launches,Beri tahu saya saat layanan mandiri diluncurkan,
quiz.capture_contact,quiz,CAPTURE,Have someone reach out to discuss my situation (no sales pitch),Minta seseorang menghubungi untuk mendiskusikan situasi saya (tidak ada promosi penjualan),
quiz.step_indicator,quiz,INTRO,Question {n} of {total},Pertanyaan {n} dari {total},Use {n} and {total} as placeholders
quiz.q1,quiz,QUESTIONS,How did the majority of these emails get on your list?,Bagaimana mayoritas email ini masuk ke daftar Anda?,
quiz.q1_a1,quiz,QUESTIONS,They filled out a form on my website or app,Mereka mengisi formulir di situs web atau aplikasi saya,
quiz.q1_a2,quiz,QUESTIONS,"Purchased, scraped, or cold outreach (no opt-in)","Dibeli, diambil (scraped), atau cold outreach (tidak ada persetujuan)",
quiz.q1_a3,quiz,QUESTIONS,Mixed sources / I inherited this list,Sumber campuran / Saya mewarisi daftar ini,
quiz.q2,quiz,QUESTIONS,Is your sending domain authenticated with DMARC?,Apakah domain pengiriman Anda diautentikasi dengan DMARC?,DNT DMARC
quiz.q2_a1,quiz,QUESTIONS,"Yes, DMARC is set to Reject or Quarantine","Ya, DMARC disetel ke Reject atau Quarantine",DNT DMARC, Reject, Quarantine
quiz.q2_a2,quiz,QUESTIONS,"I think so, but I'm not sure of the settings","Saya rasa begitu, tapi saya tidak yakin dengan pengaturannya",
quiz.q2_a3,quiz,QUESTIONS,No / What is DMARC?,Tidak / Apa itu DMARC?,DNT DMARC
quiz.q3,quiz,QUESTIONS,Have you run this list through a validation tool?,Apakah Anda sudah menjalankan daftar ini melalui alat validasi?,
quiz.q3_a1,quiz,QUESTIONS,No, never / Not in the last 6 months,Tidak, tidak pernah / Tidak dalam 6 bulan terakhir,
quiz.q3_a2,quiz,QUESTIONS,Yes, it said ""Valid"" but I'm still seeing issues,Ya, katanya ""Valid"" tapi saya masih melihat masalah,
quiz.q3_a3,quiz,QUESTIONS,Yes, it flagged a lot as ""Unknown"" or ""Catch-All"",Ya, menandai banyak sebagai ""Unknown"" atau ""Catch-All"",
quiz.q3_a4,quiz,QUESTIONS,Yes, and everything seems fine,Ya, dan semuanya tampak baik-baik saja,
quiz.q4,quiz,QUESTIONS,What brought you here today?,Apa yang membawa Anda ke sini hari ini?,
quiz.q4_a1,quiz,QUESTIONS,Open rates are slowly dropping over time,Tingkat pembukaan perlahan menurun dari waktu ke waktu,
quiz.q4_a2,quiz,QUESTIONS,ESP warning or suspension,Peringatan atau penangguhan ESP,DNT ESP
quiz.q4_a3,quiz,QUESTIONS,I want to be safe before a big send,Saya ingin aman sebelum pengiriman besar,
quiz.q4_a4,quiz,QUESTIONS,Tools give conflicting answers,Alat memberikan jawaban yang bertentangan,
quiz.loading_main,quiz,LOADING,Analyzing your responses...,Menganalisis tanggapan Anda...,
quiz.loading_sub,quiz,LOADING,Comparing against common patterns,Membandingkan dengan pola umum,
quiz.loading_checking,quiz,LOADING,Checking risk indicators...,Memeriksa indikator risiko...,
quiz.loading_matching,quiz,LOADING,Matching against known patterns,Mencocokkan dengan pola yang diketahui,
quiz.loading_preparing,quiz,LOADING,Preparing your diagnosis...,Menyiapkan diagnosis Anda...,
quiz.result_pattern,quiz,RESULTS,This is one of the most common patterns I see.,Ini adalah salah satu pola paling umum yang saya lihat.,
quiz.badge_higher_risk,quiz,RESULTS,Higher Risk,Risiko Lebih Tinggi,
quiz.badge_critical,quiz,RESULTS,Critical,Kritis,
quiz.badge_high_risk,quiz,RESULTS,High Risk,Risiko Tinggi,
quiz.badge_medium_risk,quiz,RESULTS,Medium Risk,Risiko Sedang,
quiz.badge_low_risk,quiz,RESULTS,Low Risk,Risiko Rendah,
quiz.reality_check_title,quiz,RESULTS,What we'll do,Apa yang akan kami lakukan,
quiz.reality_check_title_alt,quiz,RESULTS,What this means,Apa artinya ini,
quiz.cta_talk_specialist,quiz,RESULTS,Talk to a Specialist,Bicara dengan Spesialis,
quiz.cta_full_review,quiz,RESULTS,Get a full review,Dapatkan ulasan lengkap,
quiz.cta_diagnose,quiz,RESULTS,Let's diagnose this,Mari kita diagnosa ini,
quiz.cta_clarity,quiz,RESULTS,Get clarity on your list,Dapatkan kejelasan tentang daftar Anda,
quiz.cta_diagnosis,quiz,RESULTS,Get the diagnosis,Dapatkan diagnosisnya,
quiz.cta_safety,quiz,RESULTS,Get a safety check,Dapatkan pemeriksaan keamanan,
quiz.result_infra_headline,quiz,RESULTS,Your infrastructure may be the problem.,Infrastruktur Anda mungkin masalahnya.,
quiz.result_catchall_headline,quiz,RESULTS,Those ""Unknown"" addresses are not unknown to me.,Alamat ""Unknown"" itu tidak asing bagi saya.,
quiz.result_decay_headline,quiz,RESULTS,Your list is slowly suffocating your delivery.,Daftar Anda perlahan mencekik pengiriman Anda.,
quiz.result_preventive_headline,quiz,RESULTS,You are in a good spot. Let's keep it that way.,Anda berada di posisi yang baik. Mari kita pertahankan.,
quiz.result_noconsent_subhead,quiz,RESULTS,Lists without explicit consent carry more risk—but that doesn't mean you can't send safely. We'll remove the addresses most likely to hurt you.,Daftar tanpa persetujuan eksplisit membawa risiko lebih besar—tetapi bukan berarti Anda tidak bisa mengirim dengan aman. Kami akan menghapus alamat yang paling mungkin merugikan Anda.,
quiz.result_crisis_subhead,quiz,RESULTS,An ESP warning is the final straw. Your reputation is already damaged. Automated cleaning alone will not get you reinstated.,Peringatan ESP adalah puncak masalah. Reputasi Anda sudah rusak. Pembersihan otomatis saja tidak akan memulihkan Anda.,DNT ESP
quiz.result_toolfailure_subhead,quiz,RESULTS,You paid for syntax checking. You were punished for reputation. A 'Valid' email can still be a spam trap or chronic complainer.,Anda membayar untuk pemeriksaan sintaksis. Anda dihukum karena reputasi. Email 'Valid' masih bisa menjadi jebakan spam atau pengeluh kronis.,
