home.testimonial2_quote,homepage,"""Real human expertise. Tailor-made solutions. Not an AI tool.""","""خبرة بشرية حقيقية. حلول مصممة خصيصاً. ليست أداة ذكاء اصطناعي."""
home.testimonial3_name,homepage,Adeola Sole,أديولا سول
home.testimonial3_role,homepage,UK,المملكة المتحدة
home.testimonial3_quote,homepage,"""RME provides deep insights our ESP misses and helped us segment smarter.""","""توفر RME رؤى عميقة يفتقدها مزود الخدمة لدينا وساعدتنا في التقسيم بذكاء أكبر."""
home.final_subtext,homepage,"Send us your list. We'll tell you exactly what's safe to send, what needs watching, and what will hurt you.","أرسل لنا قائمتك. سنخبرك بالضبط ما هو آمن للإرسال، وما يحتاج للمراقبة، وما الذي سيؤذيك."
home.final_footer,homepage,Most lists returned within 24 hours.,تُعاد معظم القوائم خلال 24 ساعة.
ui.menu_open,common,Open menu,افتح القائمة
ui.menu_close,common,Close menu,أغلق القائمة
sos.bridge_dfy_cta,sos-hotline,See What You Get,انظر ماذا ستحصل
sos.bridge_dfy_desc,sos-hotline,"Send us your list. We review every address and return it labeled: Keep, Monitor, or Suppress.","أرسل لنا قائمتك. نراجع كل عنوان ونعيده مصنفاً: احتفاظ، مراقبة، أو حجب."
sos.bridge_dfy_title,sos-hotline,Done-For-You Review,مراجعة متكاملة (Done-For-You)
sos.bridge_expert_cta,sos-hotline,See the Process,شاهد العملية
sos.bridge_expert_desc,sos-hotline,Every list review includes a walkthrough of your results. We explain what we found.,كل مراجعة قائمة تتضمن شرحاً لنتائجك. نحن نوضح ما وجدناه.
sos.bridge_expert_title,sos-hotline,Expert Interpretation,تفسير الخبراء
sos.bridge_intro,sos-hotline,"SOS gives you guidance. If you need someone to actually touch your data, we offer:","SOS يعطيك التوجيه. إذا كنت بحاجة لشخص يلمس بياناتك فعلياً، نحن نقدم:"
sos.bridge_title,sos-hotline,Need More Than Advice?,تحتاج أكثر من مجرد نصيحة؟
sos.final_cta_subtext,sos-hotline,"Email us. Within 48 hours. Often sooner.","راسلنا عبر البريد الإلكتروني. الرد خلال 48 ساعة. وغالباً قبل ذلك."
sos.final_cta_title,sos-hotline,Ready to Ask Your Question?,جاهز لطرح سؤالك؟
sos.how_step1,sos-hotline,You send an email to the SOS Hotline,ترسل بريداً إلكترونياً إلى SOS Hotline
sos.how_step2,sos-hotline,You receive an automatic reply confirming we got it,تتلقى رداً تلقائياً يؤكد استلامنا لرسالتك
sos.how_step3,sos-hotline,YT personally reads and responds within 48 hours,تقرأ يانا-توري الرسائل شخصياً وترد خلال 48 ساعة
sos.topic_career_advice,sos-hotline,Career advice,نصائح مهنية
sos.why_free_p1,sos-hotline,"We offer real help without charging because it is the right thing to do. Most questions fall into a few common patterns I see every week. Some people need a quick answer. Some need deeper support. Either way, the conversation starts the same.","نقدم مساعدة حقيقية مجاناً ببساطة لأن هذا هو الشيء الصحيح الذي ينبغي فعله. معظم الأسئلة تقع ضمن أنماط شائعة أراها كل أسبوع. البعض يحتاج لإجابة سريعة. البعض يحتاج دعماً أعمق. في كلتا الحالتين، تبدأ المحادثة بنفس الطريقة."
sos.why_free_p2,sos-hotline,"If you need more than guidance, we offer done-for-you list reviews with expert interpretation included. But there is no pressure. The SOS Hotline exists to help, not to sell.","إذا كنت بحاجة لأكثر من التوجيه، نحن نقدم مراجعات قوائم متكاملة تتضمن تفسير الخبراء. لكن لا ضغوط. خط الطوارئ SOS موجود للمساعدة، وليس للبيع."
sos.why_tagline,sos-hotline,Trust beats tactics.,الثقة تغلب التكتيكات.
sos.more_intro,sos-hotline,"SOS gives you guidance. If you need someone to actually touch your data, we offer:","SOS يعطيك التوجيه. إذا كنت بحاجة لشخص يلمس بياناتك فعلياً، نحن نقدم:"
sos.more_dfy_desc,sos-hotline,"Send us your list. We review every address and return it labeled: Keep, Monitor, or Suppress. Each gets a clear label, a definition, and why it matters.","أرسل لنا قائمتك. نراجع كل عنوان ونعيده مصنفاً: احتفاظ، مراقبة، أو حجب. كل واحد يحصل على تصنيف واضح، تعريف، ولماذا هو مهم."
sos.more_expert_desc,sos-hotline,"Every list review includes a walkthrough of your results. We explain what we found, what it means, and what to do next. Included free with every cleaning.","كل مراجعة قائمة تتضمن شرحاً لنتائجك. نشرح ما وجدناه، وما يعنيه، وما يجب فعله تالياً. مشمول مجاناً مع كل عملية تنظيف."
sos.testimonial1_quote,sos-hotline,"The SOS Hotline gave me extremely helpful guidance. Yanna-Torry cleaned our list and supported us beyond the call.","أعطاني خط الطوارئ SOS توجيهاً مفيداً للغاية. قامت يانا-توري بتنظيف قائمتنا ودعمتنا لما هو أبعد من المكالمة."
sos.testimonial1_author,sos-hotline,"Megan S, UK","ميجان س، المملكة المتحدة"
sos.testimonial2_quote,sos-hotline,Real human expertise. Tailor-made solutions. Not an AI tool.,خبرة بشرية حقيقية. حلول مصممة خصيصاً. ليست أداة ذكاء اصطناعي.
sos.testimonial2_author,sos-hotline,"Chris Mead, UK","كريس ميد، المملكة المتحدة"
sos.testimonial3_quote,sos-hotline,RME provides deep insights our ESP misses and helped us segment smarter.,توفر RME رؤى عميقة يفتقدها مزود الخدمة لدينا وساعدتنا في التقسيم بذكاء أكبر.
sos.testimonial3_author,sos-hotline,"Adeola Sole, UK","أديولا سول، المملكة المتحدة"
sos.topics_subhead,sos-hotline,"You do not need to be a client. You do not need to buy anything.","لا تحتاج لأن تكون عميلاً. لا تحتاج لشراء أي شيء."
sos.topics_footer,sos-hotline,...and anything else you are wondering about.,...وأي شيء آخر تتساءل عنه.
sos.topic_deliverability,sos-hotline,Deliverability,قابلية التسليم (Deliverability)
sos.topic_bounces,sos-hotline,Bounces,الارتدادات (Bounces)
sos.topic_blocklists,sos-hotline,Blocklists,القوائم المحظورة (Blocklists)
sos.topic_open_rates,sos-hotline,Open rates,معدلات الفتح
sos.topic_esp_migration,sos-hotline,ESP migration,الانتقال بين مزودي البريد (ESP)
sos.topic_warmup,sos-hotline,Warmup,تهيئة الإرسال (Warmup)
sos.topic_list_cleaning,sos-hotline,List cleaning,تنظيف القائمة
sos.topic_engagement,sos-hotline,Engagement,التفاعل
sos.topic_spam_complaints,sos-hotline,Spam complaints,شكاوى السبام
sos.topic_reputation,sos-hotline,Reputation,السمعة
sos.topic_ip_warming,sos-hotline,IP warming,تهيئة الآي بي (IP Warming)
sos.topic_segmentation,sos-hotline,Segmentation,التقسيم
sos.topic_inbox_placement,sos-hotline,Inbox placement,الوصول للبريد الوارد
sos.topic_sunsetting,sos-hotline,Sunsetting,إيقاف التعامل مع غير المتفاعلين (Sunsetting)
sos.topic_reengagement,sos-hotline,Re-engagement,إعادة التفاعل
sos.topic_career,sos-hotline,Career advice,نصائح مهنية
sos.step1,sos-hotline,You send an email to the SOS Hotline,ترسل بريداً إلكترونياً إلى SOS Hotline
sos.step2,sos-hotline,You receive an automatic reply confirming we got it,تتلقى رداً تلقائياً يؤكد استلامنا لرسالتك
sos.step3,sos-hotline,YT personally reads and responds within 48 hours,تقرأ يانا-توري الرسائل شخصياً وترد خلال 48 ساعة
sos.how_footer,sos-hotline,That is it. No booking system. Just reach out.,هذا كل شيء. لا نظام حجز. فقط تواصل معنا.
sos.how_send_message,sos-hotline,Send a message,أرسل رسالة
sos.final_cta_subtext,sos-hotline,"Email us. Within 48 hours. Often sooner.","راسلنا عبر البريد الإلكتروني. الرد خلال 48 ساعة. وغالباً قبل ذلك."
sos.final_cta_title,sos-hotline,Ready to Ask Your Question?,جاهز لطرح سؤالك؟
sos.final_cta,sos-hotline,Contact the SOS Hotline,اتصل بـ SOS Hotline
sos.modal_title,sos-hotline,SOS Hotline,خط الطوارئ SOS
sos.modal_message_label,sos-hotline,What's going on?,ماذا يحدث؟
sos.modal_placeholder,sos-hotline,What's your email question?,ما هو سؤالك البريدي؟
sos.modal_submit,sos-hotline,Send to SOS Hotline,أرسل إلى SOS Hotline
sos.modal_success,sos-hotline,Message Received,تم استلام الرسالة
sos.modal_success_text,sos-hotline,We'll get back to you within 24-48 hours.,سنعود إليك خلال 24-48 ساعة.
Key,Page,English,Indonesian
modal.contact_title,common,Get in Touch,Hubungi Kami
modal.contact_subtitle,common,Tell us what you're working on. We'll get back to you within one business day.,Ceritakan apa yang sedang Anda kerjakan. Kami akan menghubungi Anda kembali dalam satu hari kerja.
modal.form_name,common,Name,Nama
modal.form_email,common,Email,Email
modal.form_timezone,common,Timezone,Zona Waktu
modal.form_timezone_placeholder,common,Select your timezone (optional),Pilih zona waktu Anda (opsional)
modal.form_message,common,Message,Pesan
modal.form_message_placeholder,common,What can we help you with?,Apa yang bisa kami bantu?
modal.form_message_helper,common,Optional - but helps us prepare for the conversation.,Opsional - tetapi membantu kami bersiap untuk percakapan.
modal.form_submit,common,Send Message,Kirim Pesan
modal.success_title,common,Message Sent!,Pesan Terkirim!
modal.success_message,common,We'll get back to you within one business day.,Kami akan menghubungi Anda kembali dalam satu hari kerja.
dfy.consult_call_title,done-for-you,1:1 Call with YT,Panggilan 1:1 dengan YT
dfy.contact_first,done-for-you,Contact Us First,Hubungi Kami Dulu
dfy.how_read_title,done-for-you,How I Read Your List,Bagaimana Saya Membaca Daftar Anda
dfy.keep_desc,done-for-you,"No flags found. Domain checks out, validation passed, no risk signals. These are clear to send.","Tidak ada tanda peringatan. Domain valid, validasi lolos, tidak ada sinyal risiko. Ini aman untuk dikirim."
dfy.keep_title,done-for-you,Safe to Mail,Aman untuk Dikirim
dfy.modal_submit,done-for-you,Send Request,Kirim Permintaan
dfy.modal_subtitle,done-for-you,Tell us about your situation and we'll get back to you within 24 hours.,Ceritakan tentang situasi Anda dan kami akan menghubungi Anda kembali dalam 24 jam.
dfy.monitor_desc,done-for-you,Each address comes with specific labels explaining why it landed here. Context matters.,Setiap alamat dilengkapi dengan label khusus yang menjelaskan alasannya. Konteks itu penting.
dfy.monitor_title,done-for-you,Yellow Flags,Bendera Kuning
dfy.pricing_ask,done-for-you,Just ask,Tanya saja
dfy.pricing_questions,done-for-you,Questions first?,Ada pertanyaan dulu?
dfy.read1_desc,done-for-you,"Domain behavior, history, and patterns across your entire list. Context, not just existence.","Perilaku domain, riwayat, dan pola di seluruh daftar Anda. Konteks, bukan hanya keberadaan."
dfy.read1_title,done-for-you,I Look Beyond the Address,Saya Melihat Lebih Dari Sekadar Alamat
dfy.read2_desc,done-for-you,Traps, role accounts, toxic domains, disposable patterns. The things that don't bounce but still hurt you.,Jebakan, akun peran, domain beracun, pola sekali pakai. Hal-hal yang tidak bounce tetapi tetap merugikan Anda.
dfy.read2_title,done-for-you,I Check What Others Miss,Saya Memeriksa Apa yang Dilewatkan Orang Lain
dfy.read3_desc,done-for-you,Not just labels. You get the thinking behind each decision so you understand why.,Bukan hanya label. Anda mendapatkan pemikiran di balik setiap keputusan sehingga Anda mengerti alasannya.
dfy.read3_title,done-for-you,I Explain My Reasoning,Saya Menjelaskan Alasan Saya
dfy.sos_cta,done-for-you,Learn About SOS Hotline,Pelajari Tentang Hotline SOS
dfy.sos_desc,done-for-you,Have a question before committing? Use the SOS Hotline. It is free. No sales pitch.,Punya pertanyaan sebelum berkomitmen? Gunakan Hotline SOS. Gratis. Tidak ada promosi penjualan.
dfy.sos_title,done-for-you,Not Sure Yet?,Belum Yakin?
dfy.suppress_desc,done-for-you,"Each address comes with specific labels explaining why. Invalid, trap-likely, disposable, or other risk signals. Don't send here.","Setiap alamat dilengkapi label yang menjelaskan alasannya. Tidak valid, kemungkinan jebakan, sekali pakai, atau sinyal risiko lainnya. Jangan kirim ke sini."
dfy.suppress_title,done-for-you,Do Not Mail,Jangan Dikirim
dfy.who_for1,done-for-you,Running campaigns but seeing declining engagement,Menjalankan kampanye tetapi melihat penurunan keterlibatan
dfy.who_for2,done-for-you,"Worried about bounces, complaints, or blocklists",Khawatir tentang bounce, keluhan, atau daftar blokir
dfy.who_for3,done-for-you,Inheriting a list you did not build,Mewarisi daftar yang tidak Anda buat sendiri
dfy.who_for4,done-for-you,"Under pressure to ""just send"" but sensing risk","Di bawah tekanan untuk ""kirim saja"" tetapi merasakan risiko"
dfy.who_for5,done-for-you,Trying to explain deliverability risks internally,Mencoba menjelaskan risiko deliverability secara internal
dfy.who_for_title,done-for-you,This Is For You If,Ini Untuk Anda Jika
dfy.who_not1,done-for-you,You want someone to write or send campaigns for you,Anda ingin seseorang menulis atau mengirim kampanye untuk Anda
dfy.who_not2,done-for-you,You need ESP migration or setup help,Anda butuh bantuan migrasi atau pengaturan ESP
dfy.who_not3,done-for-you,You want ongoing managed services,Anda ingin layanan terkelola yang berkelanjutan
dfy.who_not4,done-for-you,You need content or design work,Anda butuh pekerjaan konten atau desain
dfy.who_not_title,done-for-you,Not For You If,Bukan Untuk Anda Jika
dfy.who_partner_cta,done-for-you,Connect With a Partner,Terhubung Dengan Mitra
dfy.who_title,done-for-you,Who This Is For,Untuk Siapa Ini
home.manifesto,homepage,"You've probably run your list through a tool before. It said 95% valid. You sent anyway. Bounces happened. That's the gap between validation and understanding.","Anda mungkin pernah menjalankan daftar Anda melalui alat sebelumnya. Dikatakan 95% valid. Anda tetap mengirim. Bounce terjadi. Itulah kesenjangan antara validasi dan pemahaman."
home.quiz_cta_btn,homepage,Take the 2-Minute Risk Check,Ikuti Pemeriksaan Risiko 2 Menit
home.quiz_cta_desc,homepage,"Take a 2-minute self-assessment. Four questions about how you built your list, and we'll tell you what risk level you're probably at.","Lakukan penilaian mandiri 2 menit. Empat pertanyaan tentang bagaimana Anda membangun daftar Anda, dan kami akan memberi tahu tingkat risiko Anda."
pricing.calc_heading,pricing,Calculate Your Price,Hitung Harga Anda
pricing.calc_intro,pricing,Simple. More volume, lower rate.,Sederhana. Lebih banyak volume, tarif lebih rendah.
pricing.calc_subtitle,pricing,Pay only for what you need. Credits never expire.,Bayar hanya untuk apa yang Anda butuhkan. Kredit tidak pernah kadaluarsa.
pricing.calc_title,pricing,Pricing Calculator,Kalkulator Harga
pricing.compare_subtitle,pricing,The difference between checking and interpreting.,Perbedaan antara memeriksa dan menafsirkan.
pricing.compare_them1,pricing,Validators check if an inbox exists.,Validator memeriksa apakah kotak masuk ada.
pricing.compare_them2,pricing,Validators give you a status.,Validator memberi Anda status.
pricing.compare_them3,pricing,Validators flag what bounces.,Validator menandai apa yang bounce.
pricing.compare_them4,pricing,Validators process volume.,Validator memproses volume.
pricing.compare_them5,pricing,Validators leave you guessing.,Validator membiarkan Anda menebak-nebak.
pricing.compare_title,pricing,What You Are Actually Paying For,Apa yang Sebenarnya Anda Bayar
pricing.compare_us1,pricing,We assess whether sending there is safe.,Kami menilai apakah pengiriman ke sana aman.
pricing.compare_us2,pricing,We give you the reasoning behind a decision.,Kami memberi Anda alasan di balik keputusan.
pricing.compare_us3,pricing,We flag what damages your reputation without bouncing.,Kami menandai apa yang merusak reputasi Anda tanpa bounce.
pricing.compare_us4,pricing,We interpret patterns across your entire list.,Kami menafsirkan pola di seluruh daftar Anda.
pricing.compare_us5,pricing,We tell you what to do and why.,Kami memberi tahu Anda apa yang harus dilakukan dan mengapa.
pricing.cta_clean_desc,pricing,Done-for-you service. Send your list, get results.,Layanan lengkap. Kirim daftar Anda, dapatkan hasil.
pricing.cta_clean_title,pricing,Get My List Cleaned,Bersihkan Daftar Saya
pricing.cta_help_desc,pricing,Email our SOS hotline with your questions.,Kirim email ke hotline SOS kami dengan pertanyaan Anda.
pricing.cta_help_title,pricing,Get Free Help,Dapatkan Bantuan Gratis
pricing.cta_waitlist_title,pricing,Join the Waitlist,Gabung Daftar Tunggu
pricing.for_custom,pricing,for custom pricing.,untuk harga khusus.
pricing.free_help_desc,pricing,"Ask any email question. Get a real answer from a real expert. No sales pitch, no strings attached.","Ajukan pertanyaan email apa pun. Dapatkan jawaban nyata dari ahli nyata. Tidak ada promosi penjualan, tidak ada ikatan."
pricing.free_help_title,pricing,Free Email Help,Bantuan Email Gratis
pricing.get_started_btn,pricing,Get Started,Mulai Sekarang
pricing.hero_headline1,pricing,Beyond Validation.,Di Luar Validasi.
pricing.hero_headline2,pricing,We Tell You What Your List Means.,Kami Memberitahu Anda Arti Daftar Anda.
pricing.hero_subhead,pricing,"Not just pass/fail. Every address comes with reasoning so you know what to keep, what to monitor, and what to suppress.","Bukan hanya lulus/gagal. Setiap alamat disertai alasan sehingga Anda tahu apa yang harus disimpan, dipantau, dan ditahan."
pricing.join,pricing,Join,Gabung
pricing.keep_desc,pricing,No risk patterns surfaced during review. Domain behavior and historical signals support continued sending.,Tidak ada pola risiko yang muncul selama peninjauan. Perilaku domain dan sinyal historis mendukung pengiriman lanjutan.
pricing.keep_title,pricing,Cleared After Full Review,Disetujui Setelah Tinjauan Penuh
pricing.learn_more_sos,pricing,Learn More About SOS Hotline,Pelajari Lebih Lanjut Tentang Hotline SOS
pricing.monitor_desc,pricing,These require judgment. We surface historical patterns and relationship context.,Ini membutuhkan penilaian. Kami memunculkan pola historis dan konteks hubungan.
pricing.monitor_title,pricing,Patterns Worth Watching,Pola yang Layak Dipantau
pricing.need_more,pricing,Need more than 1 million?,Butuh lebih dari 1 juta?
pricing.newsletter_opt,pricing,"Monthly deliverability insights (no spam, just signal)","Wawasan deliverability bulanan (tidak ada spam, hanya sinyal)"
pricing.option_automation,pricing,Automation,Otomatisasi
pricing.option_execution,pricing,Execution,Eksekusi
pricing.option_guidance,pricing,Guidance,Panduan
pricing.questions_title,pricing,Questions?,Pertanyaan?
pricing.suppress_desc,pricing,"Clear risk signals: known problem domains, disposable patterns, historical trap indicators.",Sinyal risiko yang jelas: domain bermasalah yang diketahui, pola sekali pakai, indikator jebakan historis.
pricing.suppress_title,pricing,"Clear Risk, Clear Reasoning","Risiko Jelas, Alasan Jelas"
pricing.waitlist_success_short,pricing,You're on the list!,Anda sudah masuk daftar!
pricing.what_you_get_subtitle,pricing,A cleaned list with clear recommendations.,Daftar yang bersih dengan rekomendasi yang jelas.
pricing.what_you_get_title,pricing,What You Get,Apa yang Anda Dapatkan
pricing.who_item1,pricing,Running campaigns but seeing declining engagement,Menjalankan kampanye tetapi melihat penurunan keterlibatan
pricing.who_item2,pricing,"Worried about bounces, complaints, or blocklists",Khawatir tentang bounce, keluhan, atau daftar blokir
pricing.who_item3,pricing,Inheriting a list you did not build,Mewarisi daftar yang tidak Anda buat sendiri
pricing.who_item4,pricing,"Under pressure to ""just send"" but sensing risk","Di bawah tekanan untuk ""kirim saja"" tetapi merasakan risiko"
pricing.who_item5,pricing,Trying to explain deliverability to a boss who does not get it,Mencoba menjelaskan deliverability kepada bos yang tidak mengerti
pricing.who_note,pricing,"If you care about long-term reputation, not just short-term volume, this is for you.","Jika Anda peduli dengan reputasi jangka panjang, bukan hanya volume jangka pendek, ini untuk Anda."
pricing.who_subtitle,pricing,Marketers who already send email and want to protect their sender reputation.,Pemasar yang sudah mengirim email dan ingin melindungi reputasi pengirim mereka.
pricing.who_title,pricing,Who This Is For,Untuk Siapa Ini
quiz.bonus_credits,quiz,1,500 credits when we launch,1.500 kredit saat kami meluncurkan
quiz.cta_get_diagnosis,quiz,Get the diagnosis,Dapatkan diagnosisnya
quiz.cta_safety_check,quiz,Get a safety check,Dapatkan pemeriksaan keamanan
quiz.get_list_cleaned,quiz,Get My List Cleaned →,Bersihkan Daftar Saya →
quiz.loading_analyzing,quiz,Analyzing your responses...,Menganalisis tanggapan Anda...
quiz.loading_comparing,quiz,Comparing against common patterns,Membandingkan dengan pola umum
quiz.loading_checking,quiz,Checking risk indicators...,Memeriksa indikator risiko...
quiz.loading_matching,quiz,Matching against known patterns,Mencocokkan dengan pola yang diketahui
quiz.loading_preparing,quiz,Preparing your diagnosis...,Menyiapkan diagnosis Anda...
quiz.newsletter_opt,quiz,"Monthly deliverability insights (no spam, just signal)","Wawasan deliverability bulanan (tidak ada spam, hanya sinyal)"
quiz.notify_launch,quiz,Notify me when self-serve launches,Beri tahu saya saat layanan mandiri diluncurkan
quiz.pattern_line,quiz,This is one of the most common patterns I see.,Ini adalah salah satu pola paling umum yang saya lihat.
quiz.q1_text,quiz,How did the majority of these emails get on your list?,Bagaimana mayoritas email ini masuk ke daftar Anda?
quiz.q2_text,quiz,Is your sending domain authenticated with DMARC?,Apakah domain pengiriman Anda diautentikasi dengan DMARC?
quiz.q3_text,quiz,Have you run this list through a validation tool?,Apakah Anda sudah menjalankan daftar ini melalui alat validasi?
quiz.q4_text,quiz,What brought you here today?,Apa yang membawa Anda ke sini hari ini?
quiz.ready_to_go,quiz,Ready to go?,Siap untuk mulai?
quiz.request_contact,quiz,Have someone reach out to discuss my situation (no sales pitch),Minta seseorang menghubungi untuk mendiskusikan situasi saya (tidak ada promosi penjualan)
quiz.res_catchall_headline,quiz,Those ""Unknown"" addresses are not unknown to me.,Alamat ""Unknown"" itu tidak asing bagi saya.
quiz.res_catchall_reality,quiz,"A large percentage of business domains are catch-all. Validation marks them ""Unknown"" because it cannot verify.",Persentase besar domain bisnis adalah catch-all. Validasi menandai mereka ""Unknown"" karena tidak dapat memverifikasi.
quiz.res_catchall_subhead,quiz,Catch-all domains accept everything. Validation tools cannot tell you which addresses are real. I can.,Domain catch-all menerima segalanya. Alat validasi tidak bisa memberi tahu Anda alamat mana yang asli. Saya bisa.
quiz.res_crisis_headline,quiz,You need triage, not just cleaning.,Anda butuh triase, bukan hanya pembersihan.
