pricing.newsletter_checkbox,pricing,OPTIONS,"Monthly deliverability insights (no spam, just signal)","رؤى شهرية حول التسليم (لا رسائل مزعجة، فقط معلومات مفيدة)",
pricing.free_credits,pricing,OPTIONS,+1,500 free credits,+1,500 رصيد مجاني,
pricing.waitlist_success,pricing,OPTIONS,You're on the list! We'll notify you when self-serve launches.,أنت في القائمة! سنخطرك عند إطلاق الخدمة الذاتية.,
pricing.options_note,pricing,OPTIONS,SOS tells you what to think about. Done-for-you does the thinking for you. Self-serve lets you do the thinking yourself.,SOS يخبرك بما يجب أن تفكر فيه. الخدمة المتكاملة تفكر نيابة عنك. الخدمة الذاتية تتيح لك التفكير بنفسك.,
pricing.calculator_subtitle,pricing,CALCULATOR,Pay only for what you need. Credits never expire.,ادفع فقط مقابل ما تحتاجه. الرصيد لا ينتهي أبداً.,
pricing.calculator_intro,pricing,CALCULATOR,Simple. More volume, lower rate.,بسيط. حجم أكبر، سعر أقل.,
pricing.how_many_emails,pricing,CALCULATOR,How many emails?,كم عدد رسائل البريد الإلكتروني؟,
pricing.emails_unit,pricing,CALCULATOR,emails,بريد إلكتروني,
pricing.price_per_email,pricing,CALCULATOR,Price per email,السعر لكل بريد,
pricing.total,pricing,CALCULATOR,Total,الإجمالي,
pricing.calculator_note,pricing,CALCULATOR,Need more than 1 million?,تحتاج أكثر من مليون؟,
pricing.contact_us,pricing,CALCULATOR,Contact us,اتصل بنا,
pricing.custom_pricing,pricing,CALCULATOR,for custom pricing.,للحصول على تسعير مخصص.,
pricing.volume_pricing,pricing,CALCULATOR,Volume Pricing,تسعير الحجم,
pricing.list_size,pricing,CALCULATOR,List Size,حجم القائمة,
pricing.per_email,pricing,CALCULATOR,Per Email,لكل بريد,
pricing.sos_section_intro,pricing,SOS SECTION,Free email support for any email-related question.,دعم بريد إلكتروني مجاني لأي سؤال متعلق بالبريد الإلكتروني.,
pricing.sos_card_desc,pricing,SOS SECTION,Ask any email question. Get a real answer from a real expert. No sales pitch, no strings attached.,اسأل أي سؤال بريدي. احصل على إجابة حقيقية من خبير حقيقي. لا مبيعات، لا قيود.,
pricing.sos_duration,pricing,SOS SECTION,Response within 48 hours. Usually faster.,الرد خلال 48 ساعة. وغالباً أسرع.,
pricing.cta_subtitle,pricing,CTA,Choose what works for you.,اختر ما يناسبك.,
pricing.cta_getstarted_desc,pricing,CTA,Done-for-you service. Send your list, get results.,خدمة متكاملة. أرسل قائمتك، احصل على النتائج.,
pricing.cta_waitlist_desc,pricing,CTA,Be first to access self-serve when it launches.,كن أول من يصل للخدمة الذاتية عند إطلاقها.,
pricing.cta_freehelp_desc,pricing,CTA,Email our SOS hotline with your questions.,راسل خط SOS للطوارئ بأسئلتك.,
pricing.learn_more_btn,pricing,CTA,Learn More,اعرف المزيد,
pricing.send_message,pricing,FAQ,Send us a message,أرسل لنا رسالة,
pricing.response_time,pricing,FAQ,We respond within 48 hours. Usually faster.,نرد خلال 48 ساعة. وغالباً أسرع.,
quiz.title,quiz,INTRO,Is Your List Safe?,هل قائمتك آمنة؟,
quiz.result_noconsent_headline,quiz,RESULTS,We can absolutely help clean your list.,يمكننا بالتأكيد المساعدة في تنظيف قائمتك.,
quiz.result_crisis_headline,quiz,RESULTS,You need triage, not just cleaning.,أنت بحاجة إلى فرز طارئ، وليس مجرد تنظيف.,
quiz.result_toolfailure_headline,quiz,RESULTS,Your validation tool missed something.,أداة التحقق الخاصة بك فاتها شيء ما.,
quiz.result_directlink,quiz,RESULTS,Ready to go?,جاهز للانطلاق؟,
quiz.result_directlink_cta,quiz,RESULTS,Get My List Cleaned →,تنظيف قائمتي ←,
quiz.capture_title,quiz,CAPTURE,Save your diagnosis,احفظ تشخيصك,
quiz.capture_subtitle,quiz,CAPTURE,Get your results emailed and optionally join our waitlist for self-serve tools.,احصل على نتائجك عبر البريد وانضم اختيارياً لقائمة انتظار أدوات الخدمة الذاتية.,
quiz.capture_newsletter,quiz,CAPTURE,"Monthly deliverability insights (no spam, just signal)","رؤى شهرية حول التسليم (لا رسائل مزعجة، فقط معلومات مفيدة)",
quiz.capture_bonus,quiz,CAPTURE,1,500 credits when we launch,1,500 رصيد عند الإطلاق,
quiz.capture_submit,quiz,CAPTURE,Send My Results,أرسل نتائجي,
quiz.capture_skip,quiz,CAPTURE,Skip,تخطي,
quiz.capture_waitlist,quiz,CAPTURE,Notify me when self-serve launches,أعلمني عند إطلاق الخدمة الذاتية,
quiz.capture_contact,quiz,CAPTURE,Have someone reach out to discuss my situation (no sales pitch),اجعل شخصاً يتواصل معي لمناقشة وضعي (بدون محاولة بيع),
quiz.step_indicator,quiz,INTRO,Question {n} of {total},سؤال {n} من {total},Use {n} and {total} as placeholders
quiz.q1,quiz,QUESTIONS,How did the majority of these emails get on your list?,كيف وصل غالبية هذه العناوين إلى قائمتك؟,
quiz.q1_a1,quiz,QUESTIONS,They filled out a form on my website or app,قاموا بملء نموذج على موقعي أو تطبيقي,
quiz.q1_a2,quiz,QUESTIONS,"Purchased, scraped, or cold outreach (no opt-in)","تم شراؤها، أو جمعها آلياً (Scraped)، أو تواصل بارد (بدون موافقة مسبقة)",
quiz.q1_a3,quiz,QUESTIONS,Mixed sources / I inherited this list,مصادر مختلطة / ورثت هذه القائمة,
quiz.q2,quiz,QUESTIONS,Is your sending domain authenticated with DMARC?,هل نطاق الإرسال الخاص بك موثق بـ DMARC؟,DNT DMARC
quiz.q2_a1,quiz,QUESTIONS,"Yes, DMARC is set to Reject or Quarantine","نعم، DMARC مضبوط على Reject أو Quarantine",DNT DMARC, Reject, Quarantine
quiz.q2_a2,quiz,QUESTIONS,"I think so, but I'm not sure of the settings","أعتقد ذلك، لكن لست متأكداً من الإعدادات",
quiz.q2_a3,quiz,QUESTIONS,No / What is DMARC?,لا / ما هو DMARC؟,DNT DMARC
quiz.q3,quiz,QUESTIONS,Have you run this list through a validation tool?,هل قمت بتشغيل هذه القائمة عبر أداة تحقق؟,
quiz.q3_a1,quiz,QUESTIONS,No, never / Not in the last 6 months,لا، أبداً / ليس في آخر 6 أشهر,
quiz.q3_a2,quiz,QUESTIONS,Yes, it said ""Valid"" but I'm still seeing issues,نعم، قالت ""صالح (Valid)"" لكني لا أزال أرى مشاكل,
quiz.q3_a3,quiz,QUESTIONS,Yes, it flagged a lot as ""Unknown"" or ""Catch-All"",نعم، ميزت الكثير منها كـ ""Unknown"" أو ""Catch-All"",
quiz.q3_a4,quiz,QUESTIONS,Yes, and everything seems fine,نعم، ويبدو كل شيء على ما يرام,
quiz.q4,quiz,QUESTIONS,What brought you here today?,ما الذي جاء بك إلى هنا اليوم؟,
quiz.q4_a1,quiz,QUESTIONS,Open rates are slowly dropping over time,معدلات الفتح تنخفض ببطء مع مرور الوقت,
quiz.q4_a2,quiz,QUESTIONS,ESP warning or suspension,تحذير أو تعليق من مزود خدمة البريد (ESP),DNT ESP
quiz.q4_a3,quiz,QUESTIONS,I want to be safe before a big send,أريد أن أكون آمناً قبل عملية إرسال كبيرة,
quiz.q4_a4,quiz,QUESTIONS,Tools give conflicting answers,الأدوات تعطي إجابات متضاربة,
quiz.loading_main,quiz,LOADING,Analyzing your responses...,جاري تحليل إجاباتك...,
quiz.loading_sub,quiz,LOADING,Comparing against common patterns,جاري المقارنة مع الأنماط الشائعة,
quiz.loading_checking,quiz,LOADING,Checking risk indicators...,جاري التحقق من مؤشرات الخطر...,
quiz.loading_matching,quiz,LOADING,Matching against known patterns,جاري المطابقة مع الأنماط المعروفة,
quiz.loading_preparing,quiz,LOADING,Preparing your diagnosis...,جاري إعداد تشخيصك...,
quiz.result_pattern,quiz,RESULTS,This is one of the most common patterns I see.,هذا أحد أكثر الأنماط شيوعاً التي أراها.,
quiz.badge_higher_risk,quiz,RESULTS,Higher Risk,مخاطر أعلى,
quiz.badge_critical,quiz,RESULTS,Critical,حرج,
quiz.badge_high_risk,quiz,RESULTS,High Risk,عالي المخاطر,
quiz.badge_medium_risk,quiz,RESULTS,Medium Risk,متوسط المخاطر,
quiz.badge_low_risk,quiz,RESULTS,Low Risk,منخفض المخاطر,
quiz.reality_check_title,quiz,RESULTS,What we'll do,ما سنفعله,
quiz.reality_check_title_alt,quiz,RESULTS,What this means,ماذا يعني هذا,
quiz.cta_talk_specialist,quiz,RESULTS,Talk to a Specialist,تحدث إلى أخصائي,
quiz.cta_full_review,quiz,RESULTS,Get a full review,احصل على مراجعة كاملة,
quiz.cta_diagnose,quiz,RESULTS,Let's diagnose this,دعنا نشخص هذا,
quiz.cta_clarity,quiz,RESULTS,Get clarity on your list,احصل على وضوح بشأن قائمتك,
quiz.cta_diagnosis,quiz,RESULTS,Get the diagnosis,احصل على التشخيص,
quiz.cta_safety,quiz,RESULTS,Get a safety check,احصل على فحص أمان,
quiz.result_infra_headline,quiz,RESULTS,Your infrastructure may be the problem.,بنيتك التحتية قد تكون هي المشكلة.,
quiz.result_catchall_headline,quiz,RESULTS,Those ""Unknown"" addresses are not unknown to me.,تلك العناوين ""غير المعروفة"" ليست مجهولة بالنسبة لي.,
quiz.result_decay_headline,quiz,RESULTS,Your list is slowly suffocating your delivery.,قائمتك تخنق عملية التسليم ببطء.,
quiz.result_preventive_headline,quiz,RESULTS,You are in a good spot. Let's keep it that way.,أنت في وضع جيد. دعنا نحافظ عليه هكذا.,
quiz.result_noconsent_subhead,quiz,RESULTS,Lists without explicit consent carry more risk—but that doesn't mean you can't send safely. We'll remove the addresses most likely to hurt you.,القوائم التي بدون موافقة صريحة تحمل مخاطر أكبر—لكن هذا لا يعني أنك لا تستطيع الإرسال بأمان. سنزيل العناوين الأكثر احتمالاً لإيذائك.,
quiz.result_crisis_subhead,quiz,RESULTS,An ESP warning is the final straw. Your reputation is already damaged. Automated cleaning alone will not get you reinstated.,تحذير ESP هو القشة الأخيرة. سمعتك تضررت بالفعل. التنظيف الآلي وحده لن يعيدك للعمل.,DNT ESP
quiz.result_toolfailure_subhead,quiz,RESULTS,You paid for syntax checking. You were punished for reputation. A 'Valid' email can still be a spam trap or chronic complainer.,لقد دفعت مقابل التحقق من الصيغة. وعوقبت بسبب السمعة. البريد 'الصالح' قد يظل فخ سبام أو شخصاً كثير الشكوى.,
